path	sha256	read_depth
udt_gr_filter_reconciliation_2026-09-09/AUTHORITY_RECORD.md	80daa0be6d3e1c0ac1b734fea089c4eb487f05bc1e1fbb2fabd69322ca89f28c	full current authority/adoption
startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	4eb7d0a1130dcff997bc5180f420b633e2dcbbb5072d098997ba3672b38d8ab5	full current authority/adoption
udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/AUDIT_REPORT.md	f2197ee7a23a88017a9ac970f9a187a13113cf0bbcc1dcbd493588e9c53a1c5f	full audit report; original executable suites not repeated
udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/EXACT_DERIVATION.md	633b907b5384aa63d61d49db067dd4e608e6abd3bf3571e4267f91e5c74da8fb	full argument/source prose
udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	e4adabc1e862423cc68297305ed51903107feac135497d33f26f230f6a192fe6	full audit report; original executable suites not repeated
udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/EXACT_DERIVATION.md	a417b3cfa1cc6136429a14d3b330c1b8c25c73c9e946d6b6454d6ffae72c25a0	full argument/source prose
udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/AUDIT_REPORT.md	a411de5e2e40982c4f9c8107bd6d3a598dd55056924d4bc3d39d93f8db89e578	full audit report; original executable suites not repeated
udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/EXACT_DERIVATION.md	4fd4ca84d353018c02e32d49cf261de3472b3fafd74b0f268b0960653bdfd307	full argument/source prose
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	c8f9e5547c13067282d37bfb51db78d13bbdc06b48ef50f8f3f498e196abcb57	full audit report; original executable suites not repeated
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/EXACT_DERIVATION.md	90ae2841153754087e64ba14d0a61c408d0b5767b5c8ed9f558da0b49ab30ea4	full argument/source prose
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	b7df75cee891ed23dcf4796aba0a3d25e101ee89e4c1add95c8ef842987e418e	full audit report; original executable suites not repeated
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	7bf8dd3b081ff0d37ee23c8ea462abc451f9f4a3510283ea5e9ef87dd042b6bf	full argument/source prose
udt_g314_global_admissibility_actualization_type_classification_2026-09-01/AUDIT_REPORT.md	46984bf5b339332e4799c0069951a97211c1e33cf94d0061fcbbd1419231c53a	full audit report; original executable suites not repeated
udt_g314_global_admissibility_actualization_type_classification_2026-09-01/EXACT_DERIVATION.md	95b57a31b56434aeb892039ba41f4fd7121c20d21b1565633e485138664dbe0c	full argument/source prose
udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7	full controlling audit report; earlier full derivation/reviews not reopened
udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/AUDIT_REPORT.md	c7c96194a8baf3465b2d8c58ff19051ee2937b4b7f7a5d0e8859ad1a26651d84	full controlling audit report; earlier full derivation/reviews not reopened
udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/AUDIT_REPORT.md	9fe05975201708714983e03ca592f75bd40ccb16ea4079b7e4a33c9dfe4b48c1	full controlling audit report; earlier full derivation/reviews not reopened
