path	git_blob	sha256	bytes	first_commit	first_date	last_commit	last_date	source_class	permitted_use
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17T18:55:34-04:00	c5732bedb7adb337e57cee72e1ea6fce481984e3	2026-07-17T21:46:56-04:00	CURRENT_FOUNDATION	reciprocity, CSN, coframe representation, and open dynamics
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	db2959c45beb48f7417b211039dd8e8c71d2f1ef	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	CURRENT_FOUNDATION	common-scale equivalence and stated limits
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	5e2a9692a18dac25f4c8f5ace643fd11e7427e65	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	2693	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	CURRENT_FOUNDATION	global closure restrictions and finite whole-solution role
simple_metric_xmax_POSTULATE.md	50997429b2d1eb2e04a70a14b20078a2d89d65b3	35bb2a2d6d01cb48287e218902d087cf954e4c9eeda3142f865731742e8e681d	3802	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	POST_JULY_WORKING_LEAD	invariant Xmax and observer-relational intent
xmax_dynamic_observer_frame_2026-07-19/AUDIT_REPORT.md	5235a1eae127af06b99a430f824120452463463a	3c23d222c94fc2bd219d188803bfd2174d38cb88809a273d0a303351267d0d2c	12094	9f12b97349b09f7392edb4bd7204c52cbc597d10	2026-07-19T19:29:59-04:00	9f12b97349b09f7392edb4bd7204c52cbc597d10	2026-07-19T19:29:59-04:00	CURRENT_SELECTOR_AUDIT	dynamic pullback, acceleration connection, and scope
xmax_dynamic_observer_frame_2026-07-19/DERIVATION_RESULT.json	53bd49f3da4b4c0674b70813bd000bdbf3c4ae53	f8fd8cc2d3ce4d99d7afda9bd537dc94bf512102f230e4e097e72c9848985d78	7070	9f12b97349b09f7392edb4bd7204c52cbc597d10	2026-07-19T19:29:59-04:00	9f12b97349b09f7392edb4bd7204c52cbc597d10	2026-07-19T19:29:59-04:00	CURRENT_EXACT_EVIDENCE	load-bearing dynamic metric and curvature equations
xmax_full_frame_realization_2026-07-19/AUDIT_REPORT.md	89152f210712133bf17b5bfc93be67262ef95050	01b4e7e4c1c2fabd983a98e227073d7b57e9df46816938ed2440ad714f2275d4	13667	14d3387166f62f5f4a265f5331defae13ea8ecbe	2026-07-19T19:04:20-04:00	14d3387166f62f5f4a265f5331defae13ea8ecbe	2026-07-19T19:04:20-04:00	CURRENT_SELECTOR_AUDIT	conditional static full-frame realization
metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	a290f59860a4be0d2e14a7148aa61cc8bc407380	ce76d6236b78a2c70fb47c17740ea07949d5845b2065683905dc3218a3a0fbbc	12057	35a7423e018e67c1aa02aef8932d0c92f036bd4b	2026-07-19T17:58:51-04:00	35a7423e018e67c1aa02aef8932d0c92f036bd4b	2026-07-19T17:58:51-04:00	CURRENT_SELECTOR_AUDIT	Cartan geometry, angular sectors, and holonomy limits
bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	1b97a1a941f6ba4b4ee154e5b4377a649a08ba47	9192fca92619508d9b14601a0e96d1ffdc0064893ea2c9e4f64609b3777b2fe0	11250	d0b5d824432e1ac621d5e198e9ac490b265d2ea6	2026-07-19T16:55:51-04:00	d0b5d824432e1ac621d5e198e9ac490b265d2ea6	2026-07-19T16:55:51-04:00	CURRENT_SELECTOR_AUDIT	phi-angular selector underdetermination
reciprocal_clock_optical_scale_selector_2026-07-19/DERIVATION_REPORT.md	c2cb102e5525867e3ee8d66f37935a6ba30a74d3	ffa24eddfe76eee0ff1b11f463c300f844ebccd82188d85da55c73da467375a3	9936	f1d8f599f81f4491fbdaa4e5889bf62a724de7a7	2026-07-19T00:17:19-04:00	f1d8f599f81f4491fbdaa4e5889bf62a724de7a7	2026-07-19T00:17:19-04:00	CURRENT_SELECTOR_AUDIT	conditional reciprocal clock/metric interpretation
