path	git_blob	sha256	role
CURRENT_SCIENTIFIC_PREMISES.md	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	current_premises
CURRENT_SCIENTIFIC_PREMISES.tsv	ed1de6dd9025b2709ee5127166288fa07411df2e	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	current_premise_ledger
LIVE.md	42b987061b1af2ba1f29cf99ab0dd8beee6a1523	ae3d6fc0e5595aa634746c6e765b84018faed4201a000f0f9f838e5d7efe5936	current_authority
HANDOFF.md	ea31c7f1887e199a808ff5f12a43f8c59bb214b8	c629ace49d9ab8d0df5d94dbc35828a555a79b5dd7f4fd2da1a74cc4a1d6ca7a	current_handoff
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	1e57f8e45b997bd4fff376fdea63286360949e86	62bbe219448f4eb797b2fd46ab14ed861f41da94c5ceb8ad7092c5722aa77cf4	frontier
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	founded_pair
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/AUDIT_REPORT.md	056f2d9f6ab7029c9ac72fbc882e4a733b1b43c6	150c98e46d666b58a573d194d4b2a60a228d29d3925e6fe27e1d5650e28efc25	intrinsic_pair_result
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/verify_global_coframe.py	d68a461291063839fc4af0b8a3ceafea5e1ad2f2	7df808e580291219178191070d22c457bc8f9116164d1865e99479e343c749cb	global_quaternion_control
udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/AUDIT_REPORT.md	c62194b03353688b0374688d4e2ebf4914beea17	94bcc1ba48e5e031a306227f12220707b435b9bc30ed162808a13abc558fff1f	intrinsic_screen_join
udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md	906dd52749e3e1c268ba0af7247933451f762940	8bce36da89ba3a5e771b9478eb42634a518fa4626c0ae7f008ef234db0c031fa	connection_formula
udt_intrinsic_optical_transport_atlas_2026-07-27/PREREGISTRATION.md	9d23362cf8771c46fce1634ba643346b62b106a1	7aa4e5d89a1a951c4c742e4352321a0b6ba37790c05059d857d582de5e08fa1e	frozen_family_and_events
udt_intrinsic_optical_transport_atlas_2026-07-27/AUDIT_REPORT.md	6898139f823e763a28ad216e634288ddf7901c59	0fc181041af37e986e08795e0248930196a7b5cef711fb86796152c2e7457fd6	parent_transport_result
udt_intrinsic_optical_transport_atlas_2026-07-27/transport_geometry.py	96fe905ad0502ad5cd9e6028cf2b8db984f55ca6	aa3069b1eb74cea537f8a461507d8a2d738bd6422ac4cfe8cd2c2a0329f25b69	production_geometry
udt_intrinsic_optical_transport_atlas_2026-07-27/verify_transport_independent.py	8df697bb7ad8c3595d5b37e113c85dadda0b9434	909dca2ce01ee095b09e400ba97032669c71e9b644635075887e2759370fc47d	independent_coordinate_geometry
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	6574a2ed2f5c66f143c4d572e8eb31dc8e5effe3	64ca175da25fbed41531acdcca1106ec6eccc5368178634b1965553296f55f29	prior_abstract_holonomy_classification
udt_reciprocal_transport_holonomy_atlas_2026-07-26/EXACT_DERIVATION.md	cf2387ff8e213012856c6c538385178b9bd44109	43dd97b427f5e480f4261a8233cd4fd8966120b8b85998dcf334e265fba893a6	prior_centralizer_algebra
udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	b87950c680d61cfcb34dda1f37644b36277cc609	d97ea230affe133e40dcac6374f126b51f5741b5af79749de634a1a41d8aee88	prior_conditional_global_assembly
