catch_id	mutation	expected
C01	promote response-first to derived	REJECT
C02	promote action-first to selected	REJECT
C03	replace bootstrap working posit with derived return	REJECT
C04	declare source a required substrate substance	REJECT
C05	promote a mass-like reading to physical mass	REJECT
C06	reactivate strong local CSN	REJECT
C07	remove c_E dimensional calibration	REJECT
C08	turn X_max into a wall or variational boundary	REJECT
C09	promote F04 to native unconditional stability	REJECT
C10	close the general observer-pair depth law	REJECT
C11	declare the conormal investigation launched	REJECT
C12	reject the possibility of an action	REJECT
C13	remove the R_FIRST architecture row	REJECT
C14	duplicate the A_FIRST architecture row	REJECT
C15	remove the partial-correspondence evidence row	REJECT
C16	remove a current startup pointer to the active spine	REJECT
