premise_id	premise	status	use	not_supplied
P01	founded_phi_reciprocal_clock_ruler_weights	pinned_by_THEORY	define_complete_coframe	profile_or_global_solution
P02	copresence	WORKING_INTERPRETIVE_FRAME	whole_candidate_solution_reading	solution_law_or_accessibility
P03	metric_causal_structure	DERIVED_CONDITIONAL	causal_classification_given_Lorentzian_metric	matter_signal_response
P04	instantaneous_operational_access	NOT_DERIVED	explicitly_excluded	signalling_theorem
P05	complete_whole_solution_law	OPEN	explicitly_excluded	action_or_global_admissibility_law
P06	observer_frame_reciprocity	OWNER_FOUNDING_MACRO	coframe_interpretation	individual_solution_isometries
P07	complete_stationary_R_times_S3_family	free-and-explored_bounded_ansatz	configuration_neighborhood	time_live_or_other_topologies
P08	C3_profile_topology	pinned_by_curvature_gradient_order	continuity_domain	physical_norm_or_dynamics
P09	global_Maurer_Cartan_coframe	conditional_complete_configuration_input	global_regular_family	physical_topology_selection
P10	C01_through_C06_base_points	pinned_by_parent_exact_evidence	centers_of_tested_neighborhoods	selector_or_genericity
P11	profile_perturbations	free-and-explored_local_C3	structural_robustness	field_equation_perturbations
P12	a_and_lambda_perturbations	free-and-explored_local_real	joint_parameter_robustness	physical_parameter_law
P13	positive_R_scale	free-and-explored_local_positive	coframe_nondegeneracy	physical_scale_selection
P14	north_event	free-and-tested_certificate_point	fixed_rank_certificate	global_preferred_point
P15	I1_I2_I3_curvature_scalars	pinned_by_metric_geometry	intrinsic_rank_map	complete_invariant_basis
P16	smooth_finite_profile	pinned_by_configuration_space	compact_extrema_and_coframe	field_equation_regularization
P17	analytic_parent_candidates	pinned_by_parent_profiles	parent_Killing_continuation	generic_nonanalytic_continuation
P18	action_variation_source_boundary_carrier_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete_physics
