criterion	stamp	covered	open
FIELDS	COVERED_AS_BOUNDED_SCOPE	founded pair plus every smooth invertible 2x2 screen coframe P and all first jets	direct pair-screen metric off-blocks independent matter and generic 10-metric open
ACTION_TERMS	COVERED_AS_BOUNDED_SCOPE	none; geometric existence atlas only	all action and variation terms open
FULL_EQUATIONS	COVERED_AS_BOUNDED_SCOPE	none; off-shell identities and configurations only	native field equations and on-shell selection open
DOMAIN_COORDINATES	COVERED_AS_BOUNDED_SCOPE	global stationary R_times_S3 control with arbitrary S3 dependence	other actual completion charts and time dependence open
BOUNDARY_REGULARITY	COVERED_AS_BOUNDED_SCOPE	compact S3 smoothness plus all FC descent cap seam inputs explicitly stamped	no missing boundary completion invented
TOPOLOGICAL_SECTOR	COVERED_AS_BOUNDED_SCOPE	S3 constructive control and all twelve FC types retained as taxonomy	no topology selected and most lack actual metrics
DYNAMICAL_CHARACTER	COVERED_AS_BOUNDED_SCOPE	stationary off-shell configuration family	time-periodic and dynamic branches open
BRANCH_BIFURCATION	COVERED_AS_BOUNDED_SCOPE	all preregistered GL2 polar orientation slice and degeneracy strata	unregistered complete spacetime branches open
STABILITY_SPECTRUM	EXPLICITLY_OPEN_NOT_TESTED	not tested and explicitly open	all persistence and stability claims open
REGIME_VALIDITY	COVERED_AS_BOUNDED_SCOPE	smooth finite stationary block-screen complete S3 family and stated descent gates	arbitrary metric higher jets dynamics matter and physical selection open
