path	sha256	role
ADVERSARIAL_REVIEW.md	8c937fae1a43e930ce64abef26467ff4926faf05b7ea838de8f3e1cf8a30bd2d	fresh adversarial verification and corrections
AUDIT_REPORT.md	85551c3be4392e3f2ab009dd5d5c0841f4150603488b02d03dc3fd18a0d2008a	bounded result and scope
CATCH_PROOFS.json	7fabf81a143ed0d83014a1cf0f7a5a92d174b0e9c25599f8fd5c56e4c3456689	hostile-control output
DERIVATION_RESULT.json	816bca175195bd1c12c431f1239f94f75537929476160805d659b4bcc679a09c	production exact result
EVIDENCE_GATES.md	7b540ac99e4d1b705331946568dcb5427ba14bee7495f0e49ac2f66d518fa711	four evidence gates
EXACT_DERIVATION.md	8800492ccfc980bd6b0d2c8fc659245b402f50a6e054b53f57ed352f3c4d6a3b	load-bearing proof
INDEPENDENT_VERIFICATION.json	7fb711ba345d5bbaeb7ab1a1f4713d98945276ec6f90cf4138b107fd1286d1dc	hermetic exact replay
PRE_REGISTRATION.md	044c27ecbadb5517ae56787cfb2266c4d337d81672602d563d60834377206474	frozen question and gates
PREMISE_LEDGER.tsv	3ff5b06db228bfa70ddf8114cd2d946e338ab29f663c445c35136d7c54388ab9	premise audit
RATIONAL_ATLAS.tsv	5b25fd7d09694837216a970a31b0c2344c891060638712d7fc43284c1a018a51	324-row exact atlas
SOURCE_MANIFEST.tsv	a54666330f72476d7da6c6e2373b345fe84ef179f0f356b5fce89a0f0cc08913	frozen source manifest
STATUS_LEDGER.tsv	d383c9059671f826c416a7de8ac2037f28879dc2edcbc3f7584a09084012b771	claim status and scope
derive_reachability.py	cd6bbab65f20bdfcfa168e0c6a16d1240183da2a8606a20d52ec1fdb9341df06	production exact derivation
run_catch_proofs.py	2c242249e22d50b421c2e2015c81f99ead4bee4e61d7b23db92b447cfe8a7820	hostile-control harness
verify_package.py	f033fb7a17485a15bda0646a678816a8bef41a5bce1f5b24a5f92b914d537718	administrative verifier
verify_reachability_independent.py	72935764e28547025021ce25e0d7c33752c00ff69f5d2014381413a742b3eb0e	hermetic Fraction implementation
