premise_id	premise	status	use_in_audit	forbidden_promotion
P01	founding reciprocal character on supplied depth	DERIVED	fixes exp(-delta) clock and exp(+delta) ruler action	does not select observer pair or depth
P02	c_E observational anchor	ACTIVE_CALIBRATION	terminal dimensionful clock ruler conversion	does not select path branch or reset
P03	phi primary relational type	DERIVED_ON_SUPPLIED_RELATION	delta_K endpoint depth on named stationary branch	no universal independent point field
P04	phi plus angular orchestra	DERIVED_STRUCTURAL	complete U_gamma retains mixing and holonomy	no universal scalar modulation formula inferred
P05	C01-C06 complete twisted S3 metrics	DERIVED_CONFIGURATION_EXISTENCE	bounded branch arena	not on shell or selected universe
P06	intrinsic clock and ruler lines on C01-C06	DERIVED_CONDITIONAL_ON_NAMED_CONFIGURATIONS	builds X_lambda	no universal pair grading
P07	lambda screen weight	SUPPLIED_BRANCH_PARAMETER	complete four-slot grading	no lambda selection
P08	Levi-Civita transport	DERIVED_METRIC_GEOMETRY	path carry and holonomy	not itself reciprocal depth
P09	path-carried state semantics	WORKING_CONSTRUCTION	correctly typed compositional groupoid	not yet physical observer rule
P10	carried to rebuilt endpoint transition	OPEN	retained as M_B	must not be set to identity
P11	terminal reciprocal evaluator	DERIVED_ON_SUPPLIED_REGULAR_PAIR_METRIC_OR_JACOBIAN	reads carried flag restriction	does not select comparison Jacobian
P12	action source carrier matter mass boundary bootstrap Xmax CMB signalling	OPEN_OUTSIDE_SCOPE	none	no downstream physical claim
