criterion	covered	dropped_or_open
FIELDS	PARTIAL	constant_phi_no_shift_no_clock_screen_mixing;general_screen_metric_retained
ACTION_TERMS	NO	no_action_used_or_selected
FULL_EQUATIONS	NO	off_shell_construction_only
DOMAIN_COORDINATES	BOUNDED_FULL_ON_CHOSEN_BRANCH	R_time_x_mapping_torus_spatial_domain;other_completion_classes_dropped
BOUNDARY_REGULARITY	YES_FC07	C_infinity_mapping_torus_seam;caps_and_external_boundaries_not_in_branch
TOPOLOGICAL_SECTOR	BOUNDED_ALL_REGISTERED_FC07_CONTROLS	eight_monodromy_witnesses_not_infinite_GL2Z_family
DYNAMICAL_CHARACTER	STATIC_PRODUCT_CONTROL	time_live_stationary_and_dynamic_open
BRANCH_BIFURCATION	NO	constructive_family_not_equation_solution_catalogue
STABILITY_SPECTRUM	NO	not_defined_without_native_dynamics
REGIME_OF_VALIDITY	EXACT_OFFSHELL_SLICE	constant_depth_constant_lapse_block_screen_FC07_mapping_tori
