catch_id	result	scope
M01_SOURCE_COUNT	PASS	RECORD_INTEGRITY_MUTATION
M02_DROP_SUBGROUP	PASS	RECORD_INTEGRITY_MUTATION
M03_DUPLICATE_DEPENDENCY	PASS	RECORD_INTEGRITY_MUTATION
M04_DROP_STATUS	PASS	RECORD_INTEGRITY_MUTATION
M05_PROMOTE_NATIVE_BRIDGE	PASS	RECORD_INTEGRITY_MUTATION
M06_PROMOTE_OWNERSHIP	PASS	RECORD_INTEGRITY_MUTATION
M07_PROMOTE_PHASE	PASS	RECORD_INTEGRITY_MUTATION
M08_PROMOTE_CARRIER	PASS	RECORD_INTEGRITY_MUTATION
M09_FALSE_NORMALITY	PASS	RECORD_INTEGRITY_MUTATION
M10_INVENT_PHASE	PASS	RECORD_INTEGRITY_MUTATION
M11_FALSE_CHARGE_HOMOMORPHISM	PASS	RECORD_INTEGRITY_MUTATION
M12_OVERCLAIM_MAXIMUM	PASS	RECORD_INTEGRITY_MUTATION
M13_FALSE_SUBGROUP_NORMALITY_TEXT	PASS	RECORD_INTEGRITY_MUTATION
M14_PROMOTE_SCALAR_ANGULAR_OWNERSHIP	PASS	RECORD_INTEGRITY_MUTATION
M15_DEMOTE_NONNORMALITY_STATUS	PASS	RECORD_INTEGRITY_MUTATION
M16_INVENT_PHYSICAL_DESCENT	PASS	RECORD_INTEGRITY_MUTATION
