prior_object	prior_result	current_ruling	what_survives	what_does_not_transfer
xmax_full_frame_realization	phi_shift_projective_CSN_homothety	CONDITIONAL_DIFFERENT_METRIC_FAMILY	projective_ray_theorem_and_positive_conformal_cone_preservation	global_WRL_frame_symmetry
xmax_dynamic_observer_frame	beta_of_t_full_offdiagonal_orbit	CONDITIONAL_DIFFERENT_METRIC_FAMILY	pullback_cross_terms_and_pure_frame_connection_logic	global_WRL_observer_reciprocity
xmax_accelerating_finite_cell_cartan	beta_derivatives_add_no_curvature	STRUCTURAL_LOCAL_LESSON_RETAINED	observer_acceleration_is_frame_data_in_declared_pullback	its_specific_curvature_forms_as_WRL_forms
copresence_causal_accessibility	metric_cone_not_material_signal_theorem	RETAINED	metric_null_cone_and_global_solution_vs_signal_distinction	physical_information_transfer
two_frame_regime_metric_limit	local_orthonormal_speed_c_E	RETAINED_CONDITIONAL	local_metric_clock_ruler identity	complete_regime_realization
temporal_soldering_atlas	local_timelike_and_spacelike_phi_branches	RETAINED_CONTEXT	metric_can_supply local causal projectors	physical_branch_selection
phi_causal_interface_atlas	registered_phi causal classes	RETAINED_CONTEXT	full_metric causal type matters	join to WRL or physical regime
metric_Cartan_holonomy	local_frame_changes_do_not_create_curvature	RETAINED_CONTEXT	Cartan gauge covariance	complete_WRL_angular_holonomy
asymptotic_boundary_lineage	WRL wall regular null horizon	RETAINED_LOAD_BEARING	finite invariants regular ingoing chart and crossing	global_extension_choice
xmax_dilation_correction	Xmax owner asymptote and WRL profile	RETAINED_LOAD_BEARING	A=1-r/X and r/X=1-exp(-2phi)	global_X_selection_or_native_mass
old_projective_angular_weight	R(phi)=C exp(phi) for full-frame homothety	NOT_WRL_AREAL_RADIUS	exact result in old restricted warp family	R_WRL=X(1-exp(-2phi))
