stratum_id	outcome	depth_status	pair_status	decisive_gate
C01	RETAINED_OPEN	NO_CANONICAL_LINE_GENERIC	OPEN	G04
C02	RETAINED_NO_DEPTH	NO_GLOBAL_TIMELIKE_CHANNEL	OPEN	G05
C03	RETAINED_NONUNIQUE	LINE_DEPENDENT	OPEN	G04
C04	INTRINSIC_LINE_TRIVIAL_DEPTH	ZERO_ONLY	OPEN	G06
C05	CONDITIONAL_INTRINSIC_STATIONARY_DEPTH	ENDPOINT_COCYCLE	NO_GLOBAL_RULER_FROM_K_TWIST	G11
C06	CONDITIONAL_INTRINSIC_STATIONARY_PAIR_THEOREM	ENDPOINT_COCYCLE	PAIR_IF_TWIST_NONNULL_AND_FOUNDED_RULER_WEIGHT	G04_G11_G13_G14
C07	CAUSAL_PATCH_OR_BOUNDARY_REQUIRED	DEFINED_ONLY_WHERE_K_TIMELIKE	OPEN	G05
C08	STRUCTURAL_DESCENT_CONDITIONAL	BRANCH_DEPENDENT	BRANCH_DEPENDENT	G14
C09	STRUCTURAL_DESCENT_OR_ORIENTATION_OPEN	BRANCH_DEPENDENT	LINE_MAY_DESCEND_WITHOUT_SIGN	G14
C10	COMPLETE_REGULAR_SHIFTED_CONFIGURATION_FAMILY	EXACT_GIVEN_SUPPLIED_K_LINE	TWIST_LINE_EXACT_BUT_K_UNIQUENESS_NOT_PROVED	G04
C11	COMPLETE_INTRINSIC_DEPTH_CONTROL	EXACT_METRIC_NATIVE_KILLING_NORM_DEPTH	NO_FOUNDED_GLOBAL_RULER_IN_CONTROL	G11_G13
C12	FROZEN_REGRESSION_REPRODUCED	ZERO	NO_NEW_PAIR	G06
