object	status	exact_scope	remaining_open
source_discovery	FROZEN_COMPLETE_FIXED_BASE	9926 tracked paths; 9688 text paths; 80 qualifying groups; 3044 candidate files	unknown future sources and nonqualifying groups as joint lineages
founded_reciprocal_pair	DERIVED	inverse pair character and additive composition	physical arrows and metric-native signed depth
stationary_Killing_norm_depth	DERIVED_BOUNDED	complete stationary branch with intrinsic timelike Killing line	arbitrary observers nonstationary branches and on-shell selection
Levi_Civita_coframe_transport	DERIVED_AS_MATHEMATICS	complete metric plus supplied path	physical path semantics and reciprocal role
stationary_hybrid_comparison	AVAILABLE_CONDITIONAL_EXACT	reducible clock-depth plus coframe transport on common supplied domain	irreducible full lift physical selection and global completion
affine_complete_response	DERIVED_FAMILY	seven-dimensional first-response query bundle	finite lift and physical section
diagonal_full_frame_extension	DERIVED_FAMILY_GIVEN_INPUTS	real-lambda X_lambda family	lambda mixing pair and global selector
complete_nonultrastatic_RxS3	DERIVED_CONFIGURATION_FAMILY	positive R finite smooth phi real lambda and stated slice inequality	realized equations profile physical branch
global_completion	DERIVED_CLASSIFICATION_MULTIPLE	registered cap seam quotient holonomy and interface families	selection descent and continuation theorem
joint_operation	OPEN_NONE_REGISTERED	zero of 16 candidates passes all 15 obligations	metric-natural operation or exact no-go
bootstrap	WORKING_UNTYPED	global-local admissibility interpretation	domain codomain return map and selector equation
co_presence	WORKING_INTERPRETIVE	premise stamp retained	operational equation or signal law
strong_local_CSN	INACTIVE_CHALLENGED_NOT_DERIVED	current premise registry	no selector role
c_E_and_G_obs	OBSERVED_ANCHORS	current premise registry	no dimensionless response selection
action_source_carrier_boundary_density_Xmax_mass_dynamics	OPEN_OR_CONDITIONAL_UNCHANGED	excluded from audit	complete UDT physics
overall	NO_REGISTERED_JOINT_OPERATION_THREE_GAPS_RETAINED	fixed-base provenance and typed entailment audit	possibility/no-go audit recommended
