slot_id	symbol	meaning	type_or_rank	constraint_class	local_status	gauge_behavior	selected_physical_dof_count	controlling_source
V01	x	point of M	manifold_point	DEFINED	GENERIC_ARENA	coordinate covariant	NOT_A_MODE_COUNT	udt_global_functional_dof_constraint_rank_audit_2026-07-26/AUDIT_REPORT.md
V02	U_i	local chart	open_subset_of_M	DEFINED	PRESENTATION	changes by diffeomorphism	NOT_A_MODE_COUNT	udt_global_functional_dof_constraint_rank_audit_2026-07-26/LOCAL_PRESENTATION_RANK.tsv
V03	bar_theta_i	local reference coframe	four_covectors	DEFINED	PRESENTATION_ONLY	coordinate and local Lorentz presentation	NOT_A_MODE_COUNT	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
V04	phi_i	local depth potential for the founded reciprocal parameter after a realization is supplied	real_dimensionless_local_scalar	IDENTITY_CONSTRAINED	NATIVE_DERIVED_ALGEBRA__PHYSICAL_ASSIGNMENT_OPEN	additive zero cancels in differences; overlap law open	ZERO_INDEPENDENT_EXTRA_FIELD_DIRECTIONS	CURRENT_SCIENTIFIC_PREMISES.tsv
V05	H	founded reciprocal generator	rank_two_endomorphism	IDENTITY_CONSTRAINED	NATIVE_DERIVED	conjugates with frame	NOT_A_MODE_COUNT	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/STATUS_LEDGER.tsv
V06	D_phi	exp(phi H)=diag(exp(-phi),exp(phi))	GL2_character	IDENTITY_CONSTRAINED	NATIVE_DERIVED	abstract pair representation	NOT_A_MODE_COUNT	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
V07	iota_B	complete-coframe realization of reciprocal pair	bundle_embedding_or_associated_section	OPEN_LAW_SLOT	OPEN_GLOBAL_REALIZATION	local Lorentz equivariance required	OPEN_NOT_PROPAGATING_COUNT	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md
V08	beta_i	local clock-ruler reference pair	two_covectors	DEFINED	CHART_SLOT	part of reference coframe presentation	OPEN_NOT_PROPAGATING_COUNT	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
V09	sigma_i	local angular-screen reference pair	two_covectors	DEFINED	CHART_SLOT	local O2 and coframe presentation	OPEN_NOT_PROPAGATING_COUNT	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
V10	D_i	positive-triangular screen coframe block	GL2_upper_triangular_chart	DEFINED	FREE_CONFIGURATION_SLOT	left O2 frame gauge changes coframe not screen metric	THREE_POINTWISE_CHART_DIRECTIONS_NOT_MODE_COUNT	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
V11	K_i	infinitesimal angular generator [[a,b],[0,d]]	three_real_chart_directions	DEFINED	FREE_CONFIGURATION_SLOT	one displayed rotation may be coframe gauge outside triangular section	3_CHART_DIRECTIONS_NOT_MODE_COUNT	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
V12	S_i	base-angular mixing block	Mat2R_four_entries	DEFINED	FREE_CONFIGURATION_SLOT	transforms with base/screen frame choices	4_CHART_DIRECTIONS_NOT_MODE_COUNT	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
V13	C_i	infinitesimal lower-left mixing generator	Mat2R_four_entries	DEFINED	FREE_CONFIGURATION_SLOT	transforms with base/screen frame choices	4_CHART_DIRECTIONS_NOT_MODE_COUNT	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
V14	E_i	[[D_phi,0],[D_i S_i,D_i]]	GL4_positive_triangular_chart	IDENTITY_CONSTRAINED	DERIVED_POINTWISE_CLASS	local Lorentz descent and global glue open	SEVEN_EXTENSION_CHART_DIRECTIONS_NOT_MODE_COUNT	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
V15	theta_i	E_i bar_theta_i	complete_local_coframe	IDENTITY_CONSTRAINED	DEFINED_FROM_EXTENSION	local Lorentz and coordinate presentation	OPEN_NATIVE_REDUCED_RANK	udt_global_functional_dof_constraint_rank_audit_2026-07-26/AUDIT_REPORT.md
V16	eta	local Lorentz quadratic form diag(-1,1,1,1)	bilinear_form	DEFINED	REGISTERED_SR_CONTINUITY_READOUT	invariant under local Lorentz gauge	NOT_A_MODE_COUNT	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
V17	g	eta_ab theta_i^a tensor theta_i^b	Lorentz_metric	IDENTITY_CONSTRAINED	DEFINED_REGISTERED_READOUT	coordinate tensor; coframe Lorentz invariant	GENERIC_F4_6_ARENA__NATIVE_REDUCED_RANK_OPEN	udt_global_functional_dof_constraint_rank_audit_2026-07-26/LOCAL_PRESENTATION_RANK.tsv
V18	dphi_i	first jet of a supplied local founded-depth realization	one_form	DEFINED	FREE_PROFILE_JET_PHYSICAL_ASSIGNMENT_OPEN	covector; overlap compatibility open	NOT_AN_ELEVENTH_POINTWISE_METRIC_DIRECTION	CURRENT_SCIENTIFIC_PREMISES.tsv
V19	s_phi	g_inverse(dphi_i,dphi_i)	real_scalar	IDENTITY_CONSTRAINED	DERIVED_GEOMETRIC_DATA_ON_SUPPLIED_REALIZATION	frame invariant; chart compatibility requires phi glue	NOT_A_MODE_COUNT	udt_temporal_soldering_atlas_2026-07-22/STATUS_LEDGER.tsv
V20	omega_i	Levi-Civita connection one-form	so1_3_valued_one_form	IDENTITY_CONSTRAINED	METRIC_DEFINED	inhomogeneous frame transformation	NOT_AN_EXTRA_FIELD_COUNT	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
V21	Omega_i	domega_i+omega_i wedge omega_i	so1_3_valued_two_form	IDENTITY_CONSTRAINED	METRIC_DEFINED	frame conjugation	NOT_AN_EXTRA_FIELD_COUNT	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md
V22	P_a	regular-rank self-adjoint projector family	endomorphism_sections	CONDITIONAL_EQUATION	DERIVED_WHERE_DEFINED	projector similarity	NOT_AUTOMATIC_EXTRA_FIELDS	udt_global_metric_assembly_atlas_2026-07-22/STATUS_LEDGER.tsv
