object	status	result_or_boundary
generic_G301_class	FREE_AND_EXPLORED_CONDITIONAL_CLASS	Ric_ab_equals_zero
tracefree_G301_class	FREE_AND_EXPLORED_CONDITIONAL_CLASS	raw_rank_nine_then_Bianchi_completed_as_Ric_ab_equals_Lambda_g_ab_with_constant_Lambda
generic_Cauchy_constraints	DERIVED_CONDITIONAL	H_equals_zero_and_M_equals_zero
tracefree_Cauchy_constraints	DERIVED_CONDITIONAL	H_equals_2Lambda_constant_and_M_equals_zero
generic_principal_system	DERIVED_CONDITIONAL	full_metric_wave_on_metric_null_cone
tracefree_raw_principal	DERIVED_CONDITIONAL	rank_nine_output_projection
tracefree_completed_principal	DERIVED_CONDITIONAL	fixed_Lambda_full_metric_wave_on_same_cone
Lambda	FREE_CONNECTED_REGION_SOLUTION_DATUM	fixed_H_equals_2Lambda_or_unsupplied_DiH_equals_zero_then_Lambda_equals_H_over_2
extra_free_function	NONE	tracefree_difference_is_one_constant_not_profile
wellposedness_discriminator	NEGATIVE_BOUNDED	both_fixed_sectors_meet_same_local_wave_hypotheses
reciprocal_kernel_role	DERIVED_BOUNDED_DEPENDENCY_RESULT	formal_second_normal_jet_Jacobian_rank_zero_and_adds_no_Cauchy_or_evolution_residual
field_equation_selection	OPEN	neither_class_adopted
realized_history	OPEN	lawful_initial_data_not_selected
global_boundary_singularity_topology	OPEN_NOT_TESTED	outside_local_slab
mass_source_action_observation_scale_Xmax	OPEN_OMITTED	no_role_or_interpretation
external_review	VERIFIED_WITH_CAVEATS	repairs_R1_through_R6_registered_and_completed
