premise	stamp	used_for	limit
four_dimensional_Lorentzian_metric	CONDITIONAL_PINNED_BY_REGISTERED_ATLAS	all local curvature calculations	not a derivation of full UDT realization
positive_local_CSN_orbit	PINNED_BY_THEORY	exact representative nonselection argument	pre-material scope only
phi_neutral_under_common_scale	PINNED_BY_REGISTERED_DECOMPOSITION	local-output weight audit	physical spacetime realization remains conditional
internal_coframe_Lorentz_equivalence	PINNED_BY_REGISTERED_ATLAS	coframe-label rejection	future UDT frame reduction remains possible
orientation	FREE_AND_EXPLORED	Hodge and density rows	no global orientation selected
jet_orders_zero_one_two	FREE_AND_EXPLORED_BOUNDED	Q01 generator census	higher jets explicitly open
smooth_scalar_functional_calculus	FREE_AND_EXPOSED	proof of infinite untyped class	no coefficient law selected
all_6144_analytic_configurations	FREE_AND_EXPLORED_BOUNDED	Q02 census	not field-equation solutions or arbitrary metrics
curvature_only_in_Levi_Civita_holonomy	PINNED_BY_MATHEMATICAL_TYPE	Q02	phi Hessian and dyad remain separate diagnostics
coordinate_shell_directions	PINNED_BY_HABIT_NUMERICAL_STENCIL	transported curvature check	halving agreement required
rank_tolerance_1e_minus_9	PINNED_BY_HABIT_NUMERICAL	algebra classification	uncertainty band retained
transport_RK4_33_65	PINNED_BY_HABIT_NUMERICAL	parallel transport	exact flat and base-full claims do not depend on transport
action_source_carrier_boundary_topology_scale_time	OPEN_ABSENT	all stages	no conclusion about these objects
