source_id	path	role	source_ref	git_blob	sha256	size
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	G53 precedence and guards	93f962a727336dafe256364b7de489e5a63b1972:CURRENT_SCIENTIFIC_PREMISES.tsv	2425fcd84c76ddb0ca6225eba2b8833c1e0d0083	224c219f5da6d2dabc608fcad0984f5d5a7ca19337408bdd537877ca102461d1	42246
S02	udt_multichannel_observer_relation_assembly_audit_2026-08-10/AUDIT_REPORT.md	current multichannel ruling	93f962a727336dafe256364b7de489e5a63b1972:udt_multichannel_observer_relation_assembly_audit_2026-08-10/AUDIT_REPORT.md	1eb8cec27b38b79ee1dc231395abdb014ccf5724	f8ac4af925c56bc02889a3c1fa21bf56c7f45910b185934adef5a7365b899a59	3198
S03	udt_multichannel_observer_relation_assembly_audit_2026-08-10/EXACT_DERIVATION.md	pair state and arrow assembly	93f962a727336dafe256364b7de489e5a63b1972:udt_multichannel_observer_relation_assembly_audit_2026-08-10/EXACT_DERIVATION.md	7bca9eca1f19d607aab744c5b304a11ce4430022	43338f407460ed1698e1311bcb79048e2505ea374b04a9aeb8419fc8c812673b	12927
S04	udt_multichannel_observer_relation_assembly_audit_2026-08-10/ASSEMBLED_CHANNELS.tsv	current typed channel assembly	93f962a727336dafe256364b7de489e5a63b1972:udt_multichannel_observer_relation_assembly_audit_2026-08-10/ASSEMBLED_CHANNELS.tsv	cf1a32712da3e3fa68320186723f87358d7137b4	5c58c53552e4d673280ba18f5b07f5d98040b10695a804adbac6b7e7e7089acf	716
S05	udt_multichannel_observer_relation_assembly_audit_2026-08-10/CHANNEL_CLASSIFICATION.tsv	current complete candidate roles	93f962a727336dafe256364b7de489e5a63b1972:udt_multichannel_observer_relation_assembly_audit_2026-08-10/CHANNEL_CLASSIFICATION.tsv	1facc0bb0a1ffcad1e4616e797ade63bd1e710e0	08e61cdd46f9a85920a8038f3ae2f17c0f6b171514888e2c0a25632dfa4504db	1665
S06	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	direct founding source and assumption ledger	93f962a727336dafe256364b7de489e5a63b1972:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418
S07	udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md	corrected founding comparison semantics	93f962a727336dafe256364b7de489e5a63b1972:udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md	713f5fad6bb11a39720b34f1d71a23569076b25b	0995eaa36f5281c0dcd1662b6050950476e1ca992f59e18840ec9dc9aca0da60	4938
S08	udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md	founding object and covariance typing	93f962a727336dafe256364b7de489e5a63b1972:udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md	d2fbefcae7fc9f0a4447ab563150050028f5737f	1a80fc5de65c5739d6be523d9d41a32194d9be2dfbcb7eda048fbf12431f4d99	5769
S09	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/EXACT_DERIVATION.md	ordered query ownership hierarchy	93f962a727336dafe256364b7de489e5a63b1972:udt_founding_pair_relation_functor_ownership_audit_2026-08-09/EXACT_DERIVATION.md	a30b055233880ba48b6aa679d351079b87786d1a	b41d49db51888523b99c14a83c632fd5c45ea7592eb0e4fbc4ab1016be69e93f	12407
S10	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	founded reciprocal character and realization boundary	93f962a727336dafe256364b7de489e5a63b1972:udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	cc4e1da62c1cb1f5f4c53923b4e0b89f035f671f	0d83baaaa9f0586cb3f3b0cd7af16b201996a124dba6a050c71624a2e638a4fd	8763
S11	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	terminal reciprocal projection	93f962a727336dafe256364b7de489e5a63b1972:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	aa58f76fa4758e961e133f283894a4d6414b1495	fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	15088
S12	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	graded volume character and exchange typing	93f962a727336dafe256364b7de489e5a63b1972:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	1b322f69194351add2da4a17ce9987c5bca4a8d1	eabfad044b0caf404a7bfab8dfa2462e3a68cf7a578e67451c86baf8b95aa71a	11710
S13	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/EXACT_DERIVATION.md	angular codomain and scalar character boundary	93f962a727336dafe256364b7de489e5a63b1972:udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/EXACT_DERIVATION.md	98e04830bddd70eb59c1d3536d0b71c0f4dfa42f	78a044ee9e1f0df4f5e0673c3b8867984cd8f11070780f728f1056d204311ec6	11963
S14	udt_r17_stationary_local_one_form_selection_audit_2026-08-10/EXACT_DERIVATION.md	unselected scalar microphone families	93f962a727336dafe256364b7de489e5a63b1972:udt_r17_stationary_local_one_form_selection_audit_2026-08-10/EXACT_DERIVATION.md	d134e6f8b1783a0800387c5cfa356c4e569744f3	7311c57cdabf6fd3f77b1e522684a6fd32c9e180bbd6d583a3bc8b0c9d4f574b	11992
S15	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	upstream angular modulation guard	93f962a727336dafe256364b7de489e5a63b1972:udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	12376325339939f34f2e9f7602e78a8d1b005b5e	ce96774a1dcdefb690f716a6c69aa6cdf5c155e6cff051137f8efe9b0eb1a77c	10161
S16	udt_ceff_depth_orchestra_integration_2026-08-06.md	c_eff and calibration role	93f962a727336dafe256364b7de489e5a63b1972:udt_ceff_depth_orchestra_integration_2026-08-06.md	5d0ace9c449dfb7554820fc7f4a54c98743f4ab2	e8c1b6cebd48da4db3bcd15f8716468e292cd6021ec439dd5f8b2d5c4ad38e14	5814
S17	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	matched-state composition and unmatched transitions	93f962a727336dafe256364b7de489e5a63b1972:udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	3867fe6bbe43bf3df5f1d5887a2719da6af889d1	c691c14076f179c8765f9261521a4f9e2c21ab1e1c3817dfb199085098d13d1c	10789

