source_id	path	role
S01	udt_native_global_observable_closure_census_2026-07-26/AUDIT_REPORT.md	controlling_observable_census_and_assembly_blockers
S02	udt_native_global_observable_closure_census_2026-07-26/OBSERVABLE_GATE_MATRIX.tsv	corrected_candidate_statuses_and_partial_maps
S03	udt_native_global_observable_closure_census_2026-07-26/NEXT_STEP.md	authorized_bounded_followup
S04	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	completion_transport_holonomy_and_selector_taxonomy
S05	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	twelve_completion_authority
S06	udt_global_metric_assembly_atlas_2026-07-22/MOTIF_COMPLETION_ATLAS.tsv	motif_completion_requirements
S07	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md	systole_and_completion_transport
S08	udt_dual_systole_wall_crossing_selector_audit_2026-07-24/AUDIT_REPORT.md	tie_and_selector_obstruction
S09	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	moving_boundary_and_functional_dependence
S10	udt_two_observer_separation_selector_audit_2026-07-24/AUDIT_REPORT.md	conditional_temporal_phi_separation
S11	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	Xmax_supremum_type
S12	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md	toric_metric_connection_and_readouts
S13	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/AUDIT_REPORT.md	local_nonlinear_geometry_and_identity_limit
S14	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	identity_vs_response_and_closure_requirements
S15	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	conditional_topology_and_carrier_scope
S16	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	provenance_and_status_constraints
