path	sha256	role
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	founding_metric_readout
CURRENT_SCIENTIFIC_PREMISES.md	04b6d186f9ca4e7cf57665c3b998630cf55be24b992952de1caad1fe531ecde2	current_premise_authority
CURRENT_SCIENTIFIC_PREMISES.tsv	7d589e8c53f7f46097e435262973d3d9b00608add8d551cf4a4c57595f0e7c8f	machine_readable_premise_authority
udt_foundations_to_cmb_zoomout_consultation_2026-08-12/path.md	74a3f769d5e3713b9b70446882caa179f826d74a4ccfd2fe9f18a21f00b34c89	current_typed_program_map
udt_solved_geometry_relation_family_survivor_atlas_2026-08-11/solve_survivor_atlas.py	d79db7baa8027377216557b7d3eee636cea48ce16611f629318faabeb38c56b9	G63_production_metric_definitions
udt_solved_geometry_relation_family_survivor_atlas_2026-08-11/verify_survivor_atlas_independent.py	885ff0547d0285928744e62a907909731a26574c390143cfa5ea16bfc6f3d062	G63_independent_metric_definitions
udt_solved_geometry_relation_family_survivor_atlas_2026-08-11/NUMERICAL_SAMPLE_UNIVERSE.tsv	aba2909b9aab96f7ace896b4d3514e3cbc169bd6da6927e02b2b1297d9e60230	G63_frozen_14_sample_universe
udt_solved_geometry_relation_family_survivor_atlas_2026-08-11/EXACT_METHOD_AND_LIMITS.md	9decc1a98e2a731f6da5e01414ad5d0de83a4424a6d1e86ddf0f3757650dc084	G63_scope_and_limits
udt_cmb_G85_mixed_timelive_completion_atlas_2026-08-12/EXACT_DERIVATION.md	e34225d15541e36fa2920874f48b135afde6550d3373f7ce4b238d6c00774f1a	G85_completion_geometry
udt_cmb_G85_mixed_timelive_completion_atlas_2026-08-12/COMPLETION_ARCHETYPES.tsv	cb324ca29c6d5e06c9630414794dddc83b4bf3d15f255588b4133d776d45c2d1	G85_regular_class_definitions
udt_cmb_G85_mixed_timelive_completion_atlas_2026-08-12/PROFILE_ARCHETYPE_ATLAS.tsv	f44ae2986b9df8b62327617d21b016f88c2d38e4818540bc571307b8046e037d	G85_frozen_profile_class_census
udt_cmb_G86_existing_condition_completion_owner_audit_2026-08-12/EXACT_DERIVATION.md	5007a315b80fe937103d50f22c912abd5ac298eed9674e0c7e5cb1c3c4177762	current_no_selector_scope
