id	object	status	provenance	role
P01	c_E clock/ruler calibration	OBSERVED	founding reciprocal-c_E source	calibrates dimension-matched pair coordinates
P02	abstract ordered clock/ruler dual pairing	POSIT	founding source	owns reciprocal channel type, not a realized observer relation
P03	exponential reciprocal character on supplied depth	DERIVED	founding source	maps supplied depth to reciprocal clock/ruler squeeze
P04	complete coframe E=[[B,0],[Q S,Q]]	CONDITIONAL	complete-coframe chart	regular local chart on complete Lorentz metric arena
P05	complete metric history B(lambda),Q(lambda),S(lambda)	SUPPLIED/CONDITIONAL	this bounded audit	no equation of motion assumed
P06	pair realization J=[Y;Z]	SUPPLIED/CONDITIONAL	pair-first theorem	owns event pairing and realized tangent plane
P07	rank(J)=2	pinned-by-THEORY	definition of regular immersion	primary regularity gate
P08	Y invertible	free-and-explored	secondary A-calibrated quotient stratum	not assumed in primary pullback
P09	Q invertible / positive screen	pinned-by-THEORY	complete-coframe regular chart	ensures q=Q^TQ positive definite
P10	S arbitrary Mat(2,R)	free-and-explored	complete-coframe chart	all four modern mixing components retained
P11	Y,Z arbitrary regular pair Jacobian blocks	free-and-explored	pair realization	query/embedding channels retained separately
P12	independent dB,dQ,dS,dY,dZ	free-and-explored	exact first variation	no live channel frozen
P13	lambda generic live parameter	CHOSE	this audit	not identified with physical time, distance, redshift, or scale
P14	terminal h00<0 and det(h)<0	pinned-by-THEORY	Lorentzian calibrated pair readout	readout domain only; boundary strata recorded
P15	P=C^TqC	DERIVED_CONDITIONAL	invertible-Y quotient	compressed output, not starting ontology
P16	trace/eigenvalue/determinant scalar of P	OPEN	no selection premise	may be diagnostics but none preselected as physics
P17	modern mixing object S	CONDITIONAL	complete-coframe chart	four-component base-to-screen mixing
P18	July mu_old=B_old^2/(A_old^2 b_old^2)	CONDITIONAL	complete-lift mu audit	distinct older mixed-base ansatz object
P19	mu_old=S or a scalar of P	OPEN/no identification	no exact bridge found before registration	must be proved or rejected by type audit
P20	physical ordered-pair assignment	OPEN	current foundation	not generated by pullback evaluator
P21	physical metric history/evolution	OPEN	current foundation	not generated by chain rule
P22	quiet-middle regime score	INACTIVE	previous conditional diagnostic	must not enter reconstruction
P23	SNe/CMB/BAO/X_max/bootstrap/action/source/carrier	INACTIVE	this bounded audit	no observational or dynamical selection

