path	role
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding_reciprocal_authority
founding.md	working_foundational_and_value_law_boundary
udt_g225_shared_event_normal_screen_carry_2026-08-22/AUDIT_REPORT.md	screen_carry_and_holonomy_boundary
udt_g227_same_event_curvature_tomography_2026-08-22/AUDIT_REPORT.md	algebraic_curvature_compatibility
udt_g228_neighboring_event_curvature_first_variation_2026-08-23/AUDIT_REPORT.md	differential_Bianchi_neighbor_compatibility
udt_g231_cartan_regional_realization_bridge_2026-08-23/AUDIT_REPORT.md	Cartan_realization_boundary
udt_g255_g165_g254_lost_closure_recovery_audit_2026-08-24/AUDIT_REPORT.md	no_lost_equation_owner_boundary
udt_g262_reciprocal_clock_acceleration_mass_aspect_xmax_bridge_2026-08-25/AUDIT_REPORT.md	primary_arbitrary_profile_hierarchy
udt_g271_primary_metric_null_screen_first_jet_interlock_2026-08-26/AUDIT_REPORT.md	first_jet_depth_screen_interlock
udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	full_frame_network_carry
udt_g282_complete_history_depth_jacobi_minimal_law_type_2026-08-27/AUDIT_REPORT.md	current_bounded_landing
udt_g282_complete_history_depth_jacobi_minimal_law_type_2026-08-27/EXACT_DERIVATION.md	fixed_neighbor_curvature_discriminator
