id	object	status	role_in_audit	not_implied
P01	Positional dilation	FOUNDING	Upstream comparison principle	No spacetime line field or action
P02	Reciprocal-c Identity	FOUNDING	Coequal internal time-length conversion directions	No tangent/cotangent embedding
P03	Dual UDT Reciprocity	FOUNDING	Faithful contragredient action gives uv=1	No spacetime covariance or coframe
P04	Reciprocal exponential comparison	DERIVED_CONDITIONAL	Positive additive depth; composition; reversal; regularity; chosen sign/unit	No profile; action; global field; representative
P05	Internal pair q=(c dt;dr) and P	FAITHFUL_FORMALIZATION	Carries the kinematic comparison	Not a derived global spacetime coframe
P06	Lorentzian reciprocal metric block	CONDITIONAL_READOUT	Displays the comparison after slot/representative choices	Not full metric or universal realization
P07	Common-Scale Neutrality	FOUNDING	Conformal local calibration class	No unique line; representative; or normalization
P08	Four-dimensional Lorentz arena	INHERITED_TRIAL	Domain for naturality theorem	Not derived by UDT
P09	Bulk diffeomorphism covariance	RETAIN_TRIAL_CONDITIONAL	Naturality class under audit	Full finite-cell active group unresolved
P10	Flat/trivial configuration	MATHEMATICALLY_ALLOWED	Lorentz-isotropic jet tests universality	Not asserted as realized universe
P11	Realized nonzero dilation	OBSERVED	Prevents false universal triviality claim	Does not remove phi=0 from mathematical domain
P12	Finite mirrored cell	CANONIZED_BINDING	Boundary/global selector challenge	No complete embedding; action; or extension rule
P13	Seal parity phi=0 with free normal derivative	CANONIZED_BINDING_STATIC_SECTOR	Provides static-sector boundary datum	No time line or unique bulk extension
P14	Time/parallel spacetime line pair	OPEN_NOT_ASSUMED	Target of selector audit	No normalization; topology; or variation status
P15	Independent spacetime phi field	OPEN_NOT_ASSUMED	Gradient-selector challenge	Internal depth readout alone does not supply it
P16	Curvature nondegeneracy	OPEN_NOT_ASSUMED	Generic-stratum challenge	No universal eigenline
P17	Static Killing symmetry	CONDITIONAL_NOT_UNIVERSAL	Sector-specific challenge	No time-live selector
P18	Coframe; projector; or spacetime endomorphism	OPEN_NOT_ASSUMED	Strongest structured challenge	No native origin
P19	Boundary-to-bulk extension law	OPEN_NOT_ASSUMED	Finite-cell challenge	No geodesic; spectral; or variational choice selected
P20	Unrestricted variation of declared fields	RETAIN_TRIAL	Prevents silent equation loss	Does not select field census
P21	Complete action; source; boundary charge	OPEN	Downstream status held fixed	No promotion from selector theorem
P22	SymPy 1.13.1 CPU execution	CATEGORY_A_TECHNIQUE	Exact algebra and corrupt-fixture checks	No physics premise
