carrier_order	carrier_id	design_kind	direction_id	radius	halton_index	parent_row_sha256	alpha_0	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	beta
0	R00_1	RADIAL	D00	0.25	-	a18d90f64319c7c94032b58abb73b9e0c966aca443b4145fea563d46e43dcf49	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
1	R01_1	RADIAL	D01	0.25	-	a6a0aca79f3bd5c8481f272329e62922262162dbf51b81added4d009d176d3c5	-0.25	0.25	0.25	0.25	0.25	-0.25	-0.25	0.25	-0.25	-0.25	0.25
2	R02_1	RADIAL	D02	0.25	-	089b3dc4770c22ccc532503c970c25e5e75130f048b70cc662aaa4669ef2ef33	0.25	-0.25	0.25	0.25	0.25	-0.25	0.25	-0.25	-0.25	0.25	-0.25
3	R03_1	RADIAL	D03	0.25	-	68cf0c2132c39a19bbe3ab8fe00706138dae1fad34e55b26b1d833f79d5147eb	-0.25	-0.25	0.25	0.25	0.25	0.25	-0.25	-0.25	0.25	-0.25	-0.25
4	R04_1	RADIAL	D04	0.25	-	15efaf102664d4f667dbf1ba91e1ef0d8fbbd5de353fc6ebd3adf397d1523ffd	0.25	0.25	-0.25	0.25	0.25	0.25	-0.25	-0.25	-0.25	0.25	0.25
5	R05_1	RADIAL	D05	0.25	-	aff913a78c4ef30a79b7525513b688095dc0b2c7539efe91730588e30dc91a8c	-0.25	0.25	-0.25	0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25
6	R06_1	RADIAL	D06	0.25	-	90736cd85ea35854a9ddf702cac2bb27121414f5df28700c713ecc9bd869f243	0.25	-0.25	-0.25	0.25	0.25	-0.25	-0.25	0.25	0.25	0.25	-0.25
7	R07_1	RADIAL	D07	0.25	-	ba373c3980f0fa339ee989a469aadca759ed9be6c0a8e3dece5e21d398b5bb47	-0.25	-0.25	-0.25	0.25	0.25	0.25	0.25	0.25	-0.25	-0.25	-0.25
8	R08_1	RADIAL	D08	0.25	-	dd1c57adb728b4264c4d680da79f856a9e6611d50d83018ad4c544cad5f83029	0.25	0.25	0.25	-0.25	0.25	0.25	0.25	0.25	0.25	-0.25	-0.25
9	R09_1	RADIAL	D09	0.25	-	c3b3a6b1cc8af183f59bdeb0672a03df19251376eb9c7aae81a936a63892d699	-0.25	0.25	0.25	-0.25	0.25	-0.25	-0.25	0.25	-0.25	0.25	-0.25
