gate	preregistered_requirement	observed	status
G01	full_Gram_matrix_and_determinant	2x2_Gram_and_det_minus_c_E_squared	PASS
G02	all_real_projective_Killing_directions	K_generic_helices_two_null_lines_and_V_endpoint	PASS
G03	basis_independent_selector_or_residual_class	Gram_response_conjugates_under_constant_GL2_basis_change	PASS
G04	full_twist_for_every_direction	four_exact_three_form_components_classified	PASS
G05	constant_depth_exception	founded_K_not_selected_generically	PASS
G06	variable_depth_critical_points	global_Lie_algebra_lines_extend_from_regular_points	PASS
G07	orbit_topology_and_fixed_points	one_registered_compact_free_line_and_free_helices_no_fixed_points	PASS
G08	causal_exceptional_strata	V_spacelike_null_timelike_and_finite_root_degeneracies_retained	PASS
G09	explicit_transition_or_obstruction	analytic_positive_metric_path_to_exact_rank3_endpoint	PASS
G10	no_macro_micro_target_filter	physical_assignment_recorded_OPEN_NOT_TESTED	PASS
G11	independent_exact_reconstruction	stdlib_Fraction_implementation_209_checks_including_executed_repository_gates	PASS
G12	exercised_overclaim_catches	24_of_24_mutations_rejected	PASS
G13	lattice_preserving_automorphisms	K_to_rK_plus_bV_and_V_to_plus_or_minus_V	PASS
G14	higher_isometry_scope	registered_plane_conditional_and_additional_planes_OPEN	PASS
G15	semantic_adjacency_review	THREE_FRESH_REVIEWS_CONFIRM_MATHEMATICS_FINAL_SELF_OUTPUT_PATH_CLOSED_BY_BANKING	PASS
