class_id	candidate	owner_test	positive_return	negative_or_open_return
C01	regular support and common-observer typing	G102 exact evaluator	additional nontrivial observable exclusion	Z>0 unit sky and shared clock only
C02	fixed-base PSD terminal reachability	pair-terminal atlas	cross-source observable inequality surviving released J and base	conditional single-pair ordering only
C03	zero-order complete-pair reachability	G89 G98 factorization	failure to realize a regular target V	constructive J=E^-1 V
C04	first-jet time-live restriction	G89 first variation	failure to realize a regular target dot V	constructive dot J formula
C05	joint ambient and sky Gram law	G90 simultaneous assembly	restriction on allowed two-point observable measure	finite-dimensional embedding consistency only
C06	reciprocal reversal and network composition	G87 chord descent	constraint excluding a positive observer-star depth assignment	arbitrary star extends by endpoint potential
C07	branch criticality caustic noninjectivity	G102 branch pushforward	universal selected critical structure	regular invertible branches remain admitted
C08	measure marginal mask cap shell consistency	G102 estimator and pushforward	UDT-specific curve relation	generic probability/counting consistency only
C09	global topology or completion	current frozen source universe	selected topology forcing observable support/multiplicity	unowned/open
C10	bootstrap or joint source-history admissibility	current frozen source universe	active equation cutting source/history pairs	working/open hypothesis only
