current_path	blob_oid	sha256	size_bytes	last_commit	role	load_bearing_use
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	c5732bedb7adb337e57cee72e1ea6fce481984e3	FOUNDATION	slot, transverse-block and finite-cell limits
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	564ac41c15bb39b778d5b3181eefaf9e903bb275	FINITE_CELL_AUTHORITY	C-2026-06-10-2 and C-2026-07-04-1 physical mirrored-cell and monotonic finite-domain scope
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	db2959c45beb48f7417b211039dd8e8c71d2f1ef	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	positive common-scale scope
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	5e2a9692a18dac25f4c8f5ace643fd11e7427e65	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	2693	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	registered on-shell global selection wording
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION_SUPPORT	reciprocal exponential derivation and readout limits
bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	78ce9bc47375e0923d87a0e28a9456d3e8ed65ab	05a84a7bfeca3d78c628a3a6a343463db11497d66c5889ac0590655728d056f9	11789	378eac0ae0b615f4e64828d50bbe5d7d027393c1	SELECTOR_STATUS	bootstrap supplies no off-shell map or bridge
null_section_hopfion_metric_audit_2026-07-19/PREREGISTRATION.md	af6c499d66b4603500f83b6b88e6a286a123e3ff	ad46dc61f5b10f560f615b607b9053acb10f2908d28949fdc0ac0598b302a2c5	8783	3588962d69d64c4f3de232b59d3fec50ae828fca	PRIOR_SCOPE	prior candidate and falsification contract
null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	bab9635818253250df63aec8102cb7e2b85cd70e	af15bf24f994ae43f6d0e54e07b83d83e977aed9fbe88462f582edec89cef618	16135	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_AUDIT	exact orbit-block witness and open selection seam
null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	ca0de641261df9251d6e37c3f2f2dda179ae10f8	6f252615f91b41d6ea09eb33fc28c871d45205277c6a584d1fdd02eb4ed9dbcf	7726	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_LEDGER	premise-stamped angular and topology statuses
null_section_hopfion_metric_audit_2026-07-19/DERIVATION_RESULT.json	66c465e87795b1e181d39124c6e89f37334bcb60	eb7cc8e5a5fd757cb67046113d453d645eb3fed68fc34f75900057b9881f5ac7	6252	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_ALGEBRA	exact reciprocal/Hopf identities
native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	bc30820893a31b1458a1e086eabfef7dd3ed7959	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	8676	ded310a8e997c0220d35b0620ae1ac4d45b1e106	ACTION_STATUS	boundary/action/carrier remain open
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	492571f8a83fba07ce90551ee826194df13765a0	4d6dbe9233aa58fea4781bd7a1df13be88345d2c6dff936685879a0dea2c5b68	10665	715fa57767ecc2ec370599ad18cd9f87911798d8	FRONTIER	controlling pre-audit scientific status
