source	role	access
founding.md	F1_F4_W1_W5_bounded_foundation	tracked_read_only
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_status_authority	tracked_read_only
udt_g257_gr_quiet_limit_embedding_audit_2026-08-25/EXACT_DERIVATION.md	GR_quiet_branch_and_angular_balance	tracked_read_only
udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/AUDIT_REPORT.md	inherited_local_architecture_classification	tracked_read_only
udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/LOVELOCK_NAVARRO_SCOPE.md	external_theorem_scope_map	tracked_read_only
udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/AUDIT_REPORT.md	W4_nonownership_control	tracked_read_only
udt_g279_native_kernel_observational_interface_provenance_audit_2026-08-27/AUDIT_REPORT.md	native_kernel_provenance_guard	tracked_read_only
udt_g286_complete_germ_propagation_discriminator_2026-08-28/AUDIT_REPORT.md	future_continuation_separator	tracked_read_only
udt_g292_orientable_screen_differential_character_descent_2026-08-28/EXACT_DERIVATION.md	Euler_sector_and_same_class_freedom	tracked_read_only
https://arxiv.org/abs/1306.4354	Navarro_second_order_divergence_free_classification	external_primary_mathematical_reference_via_G259
https://arxiv.org/abs/1005.2386	Lovelock_theorem_revisited	external_primary_mathematical_reference_via_G259
