claim_id	claim	status	scope
S01	Xmax_means_maximum_possible_separation_between_observers	WORKING_OWNER_MEANING	not_yet_metric_derived
S02	Xmax_schema_is_supremum_of_native_pair_separation	DERIVED_TYPE_SCHEMA	observer_domain_comparison_and_functional_open
S03	metric_currently_supplies_native_nonnegative_Dg	OPEN_SELECTOR	Lorentzian_metric_alone_is_insufficient
S04	maximum_is_attained	OPEN	no_compactness_or_attainment_theorem
S05	global_diameter_is_one_frame_independent_scalar	CONDITIONAL_ON_Dg	coordinate_invariant_after_functional_and_domain_exist
S06	every_observer_has_same_maximal_reach	OPEN_STRONG_FORM	requires_transitive_or_equivalent_global_completion
S07	pair_exchange_symmetry	WORKING_REQUIRED_SYMMETRY	does_not_supply_three_observer_composition
S08	finite_Xmax_implies_edge_boundary_or_center	REFUTED_AS_LOGICAL_INFERENCE	explicit_boundaryless_homogeneous_countermodels
S09	local_WRL_X_equals_global_pair_diameter_Xmax	OPEN_DIAMETER_RADIUS_JOIN	global_completion_and_coefficient_missing
S10	WRL_local_profile_clock_optical_and_regular_horizon_results	RETAINED_DERIVED_CONDITIONAL_WRL	local_centered_static_ansatz
S11	SNe_WRL_score	RETAINED_OBSERVED	supplied_local_profile_not_global_definition
S12	fractional_Xmax_law_is_general_pair_distance_composition	REFUTED_IN_GENERAL	angle_curvature_path_and_holonomy_data_are_load_bearing
S13	fractional_law_and_atanh_coordinate	RETAINED_UNIQUE_CONDITIONAL	one_dimensional_oriented_projective_class
S14	one_asymptotic_radial_boundary_follows_from_Xmax	WITHDRAWN_INTERPRETATION	exact_1D_action_math_retained_conditionally
S15	finite_cell_seal_or_boundary_functional_follows_from_Xmax	NOT_DERIVED	pair_diameter_is_not_a_surface_or_variation_rule
S16	scale_breaking_dimensional_theorem	RETAINED_DERIVED_SCOPED	Xmax_used_only_as_length
S17	c_and_G_select_absolute_Xmax	RETAINED_NOT_DERIVED	no_new_dimensional_equation
S18	native_mass_diverges_at_global_Xmax	OPEN	native_matter_mass_functional_absent
S19	bootstrap_density_selects_Xmax	OPEN	native_density_mass_volume_response_and_global_solution_absent
S20	local_Lorentz_frame_reciprocity	RETAINED_DERIVED_LOCAL	distinct_from_global_observer_separation
S21	full_angular_global_metric_is_load_bearing_for_Dg	DERIVED_REQUIREMENT	three_observer_and_radius_diameter_controls
S22	Hopf_dual_systole_and_particle_results	UNCHANGED	not_load_bearing_on_edge_interpretation
S23	complete_action_source_boundary_charge_carrier_mass	OPEN_UNCHANGED	outside_audit_scope
S24	audit_grade	VERIFIED_WITH_CAVEATS	independent_implementation_passed_but_no_fresh_external_context
