stage_id	stage_name	space_layer	entry_gate	work_design	required_outputs	stop_condition	maximum_conclusion
P00	MAP_DESIGN_AND_AUDIT	MAP_ONLY	User authorization received; clean synchronized base; preregistration committed	Reconstruct authority configuration hierarchy branches premises couplings stage gates and anti-myopia audit without solving equations.	All package ledgers deterministic verifier owner-review decisions and repository gates.	Stop before any scientific solve or startup-control edit.	EXECUTION_PLAN_READY_FOR_OWNER_REVIEW
P01	CANONICAL_GEOMETRY_EVALUATOR	CONFIGURATION_SPACE	Owner approves P01; P00 verifier passes; exact field/representation branch chosen only for software interface not physics	Build one evaluator from general coframe and conditional 2+2 slots for metric inverse determinant signature connection curvature Cartan identities and CSN weights; all ten slots and four-coordinate dependence accepted.	Symbolic definitions numerical evaluator provenance lints flat/known-geometry regression gauge reconstruction and mutation catches.	Stop if any slot dependence gauge reconstruction or exact identity is missing; do not evaluate a dynamics law.	GEOMETRY_EVALUATOR_VERIFIED_NOT_SOLUTION_SPACE_EXPLORED
P02	LOCAL_JET_ATLAS	CONFIGURATION_SPACE	P01 independently verified	Map zero first and second jets modulo declared frame coordinate and CSN bookkeeping; classify signature degeneracy dphi causal type split rank integrability expansion shear twist curvature ranks and algebraic type without EOM.	Complete stratum ledger discriminant loci exact witnesses raw symbolic forms and coverage census including type changes.	Stop at local jets; no branch is called physical or on shell.	LOCAL_KINEMATIC_SOLUTION_SPACE_CHARACTERIZED_WITHOUT_DYNAMICS
P03	FOUNDED_CONSTRAINT_ATLAS	CONSTRAINED_SPACE	P02 frozen and owner reviews premise application	Apply only founded Reciprocity CSN finite-cell ontology limited static phi seal and corrected semantics; branch over every open realization boundary and global datum.	Constraint dependency graph surviving strata inconsistent premise combinations and explicit unconstrained dimensions.	Stop if a constraint lacks current citation or if a merit criterion enters.	CURRENT_FOUNDATION_CONSTRAINED_CONFIGURATION_SPACE_CHARACTERIZED
P04	DYNAMICS_BRANCH_RULING	DYNAMICAL_ENTRY	P03 frozen; Charles explicit ruling required	Choose no law one or more conditional lanes or authorize a newly derived native law; record fields locality derivative order variation boundary source and scale status separately.	Signed branch dispatch and immutable law/premise manifest.	Without explicit ruling remain at P03; do not infer a law from elegance or familiarity.	DYNAMICS_LANES_AUTHORIZED_OR_REMAIN_OPEN
P05	FULL_EQUATION_AND_VARIATION_BUILD	DYNAMICAL_SOLUTION_SPACE	P04 authorizes named lane; complete fields and boundary variables listed	Derive every Euler/constraint/boundary equation before symmetry reduction; audit unrestricted versus constrained variation and test the reduced-action scar.	Full operator graph principal type boundary currents exact regression and independent derivation.	Stop if any varied field equation or boundary channel is absent or if reduced variation rejects a full solution.	NAMED_DYNAMICS_OPERATOR_COMPLETE_IN_EXACT_PREMISE_CLASS
P06	ALGEBRAIC_EOM_BRANCH_DECOMPOSITION	DYNAMICAL_SOLUTION_SPACE	P05 verified	Decompose algebraic constraints leading coefficients singular surfaces zero modes and differential-order changes without dividing away zero strata.	Branch ideals real-existence conditions discriminants admissible initial-data manifolds and all zero/singular branches.	Stop before numerical continuation if branch completeness or real-domain conditions are unresolved.	LOCAL_EOM_BRANCH_STRUCTURE_CHARACTERIZED_IN_NAMED_LANE
P07	BOUNDED_ODE_PILOT	REDUCED_DYNAMICAL_STRATA	P06 frozen; each reduction has symmetry and omitted-sector ledger	Run small CPU pilots on multiple cohomogeneity-one static stationary and homogeneous-time strata; use at least two methods where practical; preserve every outcome.	Raw residuals backward errors continuation seeds branch records and reduction-relaxation plan.	Stop on raw-residual failure branch loss or unresolved gauge; no GPU or production sweep.	ODE_TOOLING_VALIDATED_FOR_DECLARED_STRATA
P08	ODE_BRANCH_ATLAS	REDUCED_DYNAMICAL_STRATA	P07 verified and separate production dispatch	Use exact local series multi-start collocation/shooting and pseudo-arclength continuation across preregistered complete parameter domains; characterize rather than filter.	Branch graph folds bifurcations endpoints singular/type-change classes convergence and unresolved cells.	Stop at registered bounds or incomplete coverage; never report whole-metric completion.	COHOMOGENEITY_ONE_BRANCH_ATLAS_CHARACTERIZED
P09	TIME_LIVE_CONSISTENCY_AND_INITIAL_DATA	TIME_LIVE_DYNAMICS	P05/P06 verified for a time-live lane	Classify nonlinear principal character constraints gauge propagation admissible initial/boundary data and exact time jets; no harmonic or linear default.	Well-posedness ledger constraint manifold nonlinear short-time contract and failure modes.	Stop if evolution law hyperbolicity/constraint propagation or time boundary is undefined.	TIME_LIVE_PROBLEM_WELL_POSED_IN_NAMED_LANE
