candidate_id	candidate_family	outcome	native_section_selected	variation_domain
C01	FOUNDED_PAIR_ALONE	PARTIAL_CONSTRAINT	NO	OPEN_SEPARATE_GATE
C02	KILLING_LINE_OR_PLANE	AVAILABLE_CONDITIONAL	NO	OPEN_SEPARATE_GATE
C03	NONNULL_DPHI_PROJECTOR	AVAILABLE_CONDITIONAL	NO	OPEN_SEPARATE_GATE
C04	RICCI_SPECTRAL_STRUCTURE	SET_VALUED_ONLY	NO	OPEN_SEPARATE_GATE
C05	WEYL_PRINCIPAL_STRUCTURE	SET_VALUED_ONLY	NO	OPEN_SEPARATE_GATE
C06	RIEMANN_CURVATURE_OPERATOR	SET_VALUED_ONLY	NO	OPEN_SEPARATE_GATE
C07	ANGULAR_METRIC_SPECTRAL_DATA	AVAILABLE_CONDITIONAL	NO	OPEN_SEPARATE_GATE
C08	RECIPROCAL_PROJECTOR_FAMILY	AVAILABLE_CONDITIONAL	NO	OPEN_SEPARATE_GATE
C09	DUAL_SYSTOLE_MODULE	SET_VALUED_ONLY	NO	OPEN_SEPARATE_GATE
C10	HOLONOMY_FIXED_SUBSPACE	AVAILABLE_CONDITIONAL	NO	OPEN_SEPARATE_GATE
C11	FINITE_CELL_SEAL_ISOTROPY	PARTIAL_CONSTRAINT	NO	OPEN_SEPARATE_GATE
C12	GLOBAL_COMPLETION_TRANSITION_DATA	AVAILABLE_CONDITIONAL	NO	OPEN_SEPARATE_GATE
