observable_id	gate_id	status	reason
O01	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE	spin_field_map_correlation_or_spectrum_definition_is_available_as_readout_math
O01	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN	metric_supplies_screen_geometry_only_after_observer_path_and_screen_inputs
O01	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION	screen_transport_can_act_upstream_but_is_not_physical_polarization_transport
O01	G04	OPEN_UNSELECTED_EXTENSION	seven_direction_registered_extension_tangent_has_no_active_selector
O01	G05	OPEN_PHYSICAL_DOMAIN	observer_event_path_and_screen_basis_are_not_selected
O01	G06	OPEN_PHYSICAL_CARRIER	geometric_screen_tensor_is_not_automatically_native_polarization
O01	G07	OPEN_NATIVE_SOURCE	no_native_matter_polarization_generation_or_initial_data_law
O01	G08	OPEN_GLOBAL_SKY	whole_sky_patches_topology_boundary_and_transition_law_are_unselected
O01	G09	BASIS_COVARIANT_NOT_INVARIANT	Q_U_require_declared_screen_basis_and_calibration
O01	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE	observed_single_sky_does_not_supply_a_UDT_ensemble_or_deterministic_prediction
O01	G11	EXTERNAL_SEPARATION_REQUIRED	frequency_noise_mask_foreground_and_calibration_controls_remain_external
O01	G12	NOT_SELECTED_UNIQUE_SIGNATURE	unresolved_extension_carrier_source_and_global_chain_prevent_uniqueness
O01	G13	DIRECTIONAL_INFORMATION_RETAINED	map_off_diagonal_rotation_or_real_space_object_retains_location_or_m_structure
O01	G14	NOT_AVAILABLE_UDT_PREDICTION	at_least_extension_domain_carrier_source_and_completion_are_open
O02	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE	spin_field_map_correlation_or_spectrum_definition_is_available_as_readout_math
O02	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN	metric_supplies_screen_geometry_only_after_observer_path_and_screen_inputs
O02	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION	screen_transport_can_act_upstream_but_is_not_physical_polarization_transport
O02	G04	OPEN_UNSELECTED_EXTENSION	seven_direction_registered_extension_tangent_has_no_active_selector
O02	G05	OPEN_PHYSICAL_DOMAIN	observer_event_path_and_screen_basis_are_not_selected
O02	G06	OPEN_PHYSICAL_CARRIER	geometric_screen_tensor_is_not_automatically_native_polarization
O02	G07	OPEN_NATIVE_SOURCE	no_native_matter_polarization_generation_or_initial_data_law
O02	G08	OPEN_GLOBAL_SKY	whole_sky_patches_topology_boundary_and_transition_law_are_unselected
O02	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION	E_B_or_harmonic_readout_descends_only_after_global_sky_mask_and_basis_rules
O02	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE	observed_single_sky_does_not_supply_a_UDT_ensemble_or_deterministic_prediction
O02	G11	EXTERNAL_SEPARATION_REQUIRED	frequency_noise_mask_foreground_and_calibration_controls_remain_external
O02	G12	NOT_SELECTED_UNIQUE_SIGNATURE	unresolved_extension_carrier_source_and_global_chain_prevent_uniqueness
O02	G13	DIRECTIONAL_INFORMATION_RETAINED	map_off_diagonal_rotation_or_real_space_object_retains_location_or_m_structure
O02	G14	NOT_AVAILABLE_UDT_PREDICTION	at_least_extension_domain_carrier_source_and_completion_are_open
O03	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE	spin_field_map_correlation_or_spectrum_definition_is_available_as_readout_math
O03	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN	metric_supplies_screen_geometry_only_after_observer_path_and_screen_inputs
O03	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION	screen_transport_can_act_upstream_but_is_not_physical_polarization_transport
O03	G04	OPEN_UNSELECTED_EXTENSION	seven_direction_registered_extension_tangent_has_no_active_selector
O03	G05	OPEN_PHYSICAL_DOMAIN	observer_event_path_and_screen_basis_are_not_selected
O03	G06	OPEN_PHYSICAL_CARRIER	geometric_screen_tensor_is_not_automatically_native_polarization
O03	G07	OPEN_NATIVE_SOURCE	no_native_matter_polarization_generation_or_initial_data_law
O03	G08	OPEN_GLOBAL_SKY	whole_sky_patches_topology_boundary_and_transition_law_are_unselected
O03	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION	E_B_or_harmonic_readout_descends_only_after_global_sky_mask_and_basis_rules
O03	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE	observed_single_sky_does_not_supply_a_UDT_ensemble_or_deterministic_prediction
O03	G11	EXTERNAL_SEPARATION_REQUIRED	frequency_noise_mask_foreground_and_calibration_controls_remain_external
O03	G12	NOT_SELECTED_UNIQUE_SIGNATURE	unresolved_extension_carrier_source_and_global_chain_prevent_uniqueness
O03	G13	DIRECTIONAL_INFORMATION_RETAINED	map_off_diagonal_rotation_or_real_space_object_retains_location_or_m_structure
O03	G14	NOT_AVAILABLE_UDT_PREDICTION	at_least_extension_domain_carrier_source_and_completion_are_open
O04	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE	spin_field_map_correlation_or_spectrum_definition_is_available_as_readout_math
O04	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN	metric_supplies_screen_geometry_only_after_observer_path_and_screen_inputs
O04	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION	screen_transport_can_act_upstream_but_is_not_physical_polarization_transport
O04	G04	OPEN_UNSELECTED_EXTENSION	seven_direction_registered_extension_tangent_has_no_active_selector
O04	G05	OPEN_PHYSICAL_DOMAIN	observer_event_path_and_screen_basis_are_not_selected
O04	G06	OPEN_PHYSICAL_CARRIER	geometric_screen_tensor_is_not_automatically_native_polarization
