id	claim	status	source	use_in_ruling
E01	reciprocal character is derived only on supplied ordered depth	DERIVED_WITH_OPEN_REALIZATION	udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md	keeps query realization distinct from native law
E02	X_max is an asymptotic observer-pair gate, not a boundary	WORKING_FOUNDATIONAL_FRAME	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md	prevents boundary/action smuggling
E03	full coframe pullback preserves plural metric responses	DERIVED_NONSELECTION	udt_full_coframe_response_selection_audit_2026-08-04/AUDIT_REPORT.md	rules out coframe-only law selection
E04	completion data change local endpoint and jet fibers	DERIVED_PARTIAL_KINEMATIC	udt_global_local_reconstruction_audit_2026-08-04/AUDIT_REPORT.md	provides response-first foothold
E05	reconstruction/readout leaves all supplied configurations admissible	DERIVED_NONSELECTION	udt_global_local_reconstruction_audit_2026-08-04/AUDIT_REPORT.md	requires a nonidentity return
E06	smooth extension and Cartan reconstruction do not select interiors	DERIVED_NONSELECTION	udt_complete_coframe_extension_solvability_audit_2026-08-04/AUDIT_REPORT.md	blocks a gluing/integrability shortcut
E07	law homes and query quantifiers have different variation owners	DERIVED_TYPE_ATLAS	udt_native_law_home_codomain_ownership_audit_2026-08-04/AUDIT_REPORT.md	joins law and variation ownership
E08	bootstrap readout does not derive return	DERIVED_NEGATIVE_IN_REGISTERED_ROUTES	udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	prevents posit-as-formula promotion
E09	Reciprocity supplies equivariance but not return	DERIVED_GATE_NONSELECTION	udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	constrains both architectures
E10	F01 variation fork creates/removes nonzero branch	CONDITIONAL	udt_post_july_mass_branch_reconciliation_2026-08-01/AUDIT_REPORT.md	witnesses dependence of outcome on variation ownership
E11	F02 local response/stiffness survives only within incomplete completion data	CONDITIONAL	udt_f02_global_completion_admissibility_2026-08-01/AUDIT_REPORT.md	witnesses global/local dependency without closure
E12	F04 has genuine static finite-box stability under carrier/action/boundary premises	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	witnesses downstream stability after a model is supplied
E13	C2/Bach and EH remain conditional; complete action/source/boundary/mass open	ADJUDICATED	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	rejects action-first promotion
E14	strong local CSN is inactive and c_E is an active dimensional anchor	CURRENT_CORRECTION	udt_conceptual_object_type_dependency_audit_2026-08-05/AUDIT_REPORT.md	removes pre-scale selector shortcut
E15	projector L2/L4 bridge is exact only after supplied rank-one reduction	OPEN_CONDITIONAL_BRIDGE	udt_reciprocal_closure_joint_selector_audit_2026-08-01/AUDIT_REPORT.md	prevents carrier/action promotion
