item	status	role	forbidden_promotion
reciprocal_character	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	clock_ruler_character	generator_of_depth_values
primary_static_spherical_metric	FOUNDATIONAL_DECLARED_FAMILY	one_function_primary_macro_arena	complete_timelive_solution
primary_profile_phi	FREE_AND_EXPLORED	value_closure_unknown	fitted_or_selected_profile
complete_pair_pullback	DERIVED_CONDITIONAL_ON_SUPPLIED_GERM	orchestra_before_readout	physical_germ_population
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	unique_positive_ruler_calibration	canon_or_ambient_history_equation
matched_clock_scalar_descent	DERIVED_CONDITIONAL	edge_depth_as_vertex_difference	vertex_value_generation
reversal_and_actual_composition	DERIVED_CONDITIONAL	groupoid_consistency	translation_invariant_distance_law
angular_parallel_perp_modes	DERIVED_CONDITIONAL_FROM_PRIMARY_METRIC	local_phi_jet_outputs	profile_residual_or_observational_target
rank_complete_pair_network	DERIVED_CONDITIONAL_RECONSTRUCTION	reconstructs_supplied_metric_values	selects_or_propagates_values
smoothness	REGULARITY	permits_exact_Hermite_realization	finite_dimensionality
c_E	OBSERVED	clock_ruler_unit_calibration	length_or_profile_value
graph_size_N	FREE_AND_EXPLORED	arbitrary_finite_sampling_count	fixed_physical_observer_count
radial_nodes	FREE_AND_EXPLORED	distinct_positive_exact_coordinates	preferred_observer_locations
time_live_event_nodes	FREE_AND_EXPLORED	finite_clock_carry_test	physical_population
observational_values	CLOSED_FOR_G256	none	profile_fit_or_loss
X_max	CLOSED_FOR_G256	open_downstream_consequence	kernel_input_or_boundary
action_source_matter_bootstrap	CLOSED_FOR_G256	none	invented_value_law
protected_packages	CLOSED_FOR_G256	none	construction_or_evidence_input
