path	source_sha256	first_date	current_frontier	founding_source	old_rule	old_disposition	adjudicated_family	corrected_disposition	reason
H4_N4a_source_background_audit_results.md	e49a9767313c1815757df40656c1d4dbd8d1eac704d3b41a5aa2cadd72847c01	2026-07-05T14:04:34-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
H4_backreaction_mass_MAP.md	b85beb966de629438357d83deb1be9f5fb1c1049e1a01cfc58ed3f24b15358d2	2026-07-05T11:49:22-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	2026-07-17T18:55:34-04:00	YES	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	CURRENT_C1_FOUNDATION	CONDITIONAL_REINTERPRETATION_ONLY	Named in the present founding/action source chain; exact algebra remains current only with the relational supplied-depth and open-law overlay.
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	2026-07-17T18:12:12-04:00	NO	YES	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	CURRENT_RECIPROCAL_CHARACTER_SOURCE	CONDITIONAL_REINTERPRETATION_ONLY	Named in the present founding/action source chain; exact algebra remains current only with the relational supplied-depth and open-law overlay.
cascade_bv13_w2_w3cas.py	0646d2370cb9984dc85aa1b3230addfd4ec4f697209e5e51eecb3302b94f6b69	2026-07-03T13:59:49-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cascade_bv8_falsifiers.py	144245b619ec70e6d0afa24164140505ecc46368e56f39512bca208340b064c8	2026-07-02T18:34:19-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cascade_s3_predictions.md	fecae65435b58eb661e29024e2e64928b72dd24edfa670b33c6e4bcc5588c6aa	2026-07-03T16:54:28-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cascade_sf_cas4_zeromodes.py	3a26b325f03e580ea2ec15e7738a8c9af13c475ca3bf5f302f115806ef853bb8	2026-07-03T13:59:49-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cascade_th2_cas_checks.py	914b306080c65a84f008a107c0594f2da119fde5a294190b91a42a2132f092d7	2026-07-02T20:49:47-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cell_solver_f2d.py	cc1cbc396c114b745e129b203ac0d16317175446a870b5d0280953aa173fdd8e	2026-07-01T20:29:45-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cell_solver_f2d_N2.py	12addcbe88f248a5d14f20eed7dc98ceb2647f8693b4a267afc4270889b1da4b	2026-07-02T10:04:35-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cell_solver_f2d_classB_run.py	6e1bbccd8860b1c9af55e3dcd027c3e05c8139107a24c2fa655571aaeea591d6	2026-07-02T11:58:17-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cell_solver_f2d_embedded_run.py	71f4c492e461d4a39a3c6ebb5715a45438c0607f46dc05a02db3e4e8e409b71c	2026-07-02T10:57:00-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cell_solver_f2d_embedded_scan.py	3ebf8826c4f211b1675b160dd140f35a9f90e10b0f8c71153fd46474654da8fb	2026-07-01T21:07:18-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cell_solver_f2d_first_build.py	185fbb7ba571852622d38db717d41f691b2e5a36f831aa2bbd0432c76fe94e97	2026-07-01T21:55:48-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
cell_solver_round.py	046c9f1aa7ed9e596e352ba0bb81515cc649b268997099f72a3cd4c78583eee3	2026-07-01T13:02:15-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
classB_rung_resonance_prebuild_test_DESIGN.md	963199ee7fcf975251dfe8750ac24a2413efa704cc6cfdd2527af7d426103783	2026-07-07T09:54:13-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
codex_rehearsal_transcript.txt	9fbdee8aa123a12ee08860d65a0b3712a5f0e23897a97762ba9596573eb0a669	2026-07-17T17:43:56-04:00	NO	NO	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	EARLY_ROOT_FIELD_ACTION_CORPUS	HISTORICAL_SUPERSEDED_NO_ACTION	Individually enumerated early root solver/design/result; not a current controlling source and gated at reuse.
