item	status	note
G336_inherited_second_jet	DERIVED_CONDITIONAL_BOUNDED_EXTERNALLY_ACCEPTED_AFTER_PREREGISTERED_REPAIRS	exploratory_formula_disclosed_before_preregistration
positive_zero_negative_strata	DERIVED_CONDITIONAL_BOUNDED	exact_lawful_witnesses_retained
interior_first_carry_dependence	DERIVED_CONDITIONAL_BOUNDED	arbitrary_unit_direction_first_carry_can_change_sign
strict_horizontal_endpoint	DERIVED_CONDITIONAL_BOUNDED	s1_equals_one_and_first_carry_independent
vertical_endpoint	CLOSURE_BOUNDARY_NOT_STRICT_G332_DATUM	radicand_zero_and_branches_meet
double_silent_third_jet	OPEN	not_removed_or_called_trivial
finite_time_G332_development	OPEN	initial_second_jet_only
physical_germ_population_history	OPEN	no_selector
topology_matter_mass_observation_scale_Xmax	OPEN	not_inputs_or_outputs
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	not_derived_or_canon
G312_premises	OWNER_ADOPTED_PROVISIONAL_POSTULATES	bounded_active_arena
external_review	ACCEPT_WITH_REPAIRS_BOUNDED_RESULT_RETAINED	one_wording_only_strict_domain_repair
R2_wording_repair	EXTERNALLY_ACCEPTED_AFTER_PREREGISTRATION	zero_surface_strictly_0_lt_mu_lt_1
