gate_id	gate	positive_requirement	failure_ruling
G01	global_analytic_profile	u_positive_finite_analytic_on_S3	candidate_not_global
G02	complete_global_coframe	Maurer_Cartan_coframe_nondegenerate_everywhere	candidate_not_complete
G03	strict_spacelike_slice	u_squared_greater_than_a_squared_over_R_squared_everywhere	classify_slice_null_or_indefinite
G04	timelike_stationary_line	g(K,K)_negative_everywhere	no_clock_line
G05	nonconstant_stationary_norm	u_nonconstant	trivial_depth_control
G06	full_Killing_algebra_uniqueness	one_dimensional_generated_by_K	intrinsic_clock_line_not_derived
G07	nonzero_global_twist	a_kappa_nonzero_everywhere	no_twist_ruler
G08	ruler_spacelike_and_independent	W_sharp_spacelike_nonzero_and_orthogonal_to_K	pair_rank_failure
G09	global_smooth_rank2_bundle	span_K_W_smooth_constant_rank_two	global_descent_failure
G10	representative_independence	K_rescaling_and_line_sign_leave_bundle_projector_unchanged	not_intrinsic
G11	equivariant_projector	projector_conjugates_under_passive_frame_change	fixed_component_error
G12	founded_pair_generator	minus_one_on_clock_plus_one_on_ruler_zero_on_screen	pair_action_not_realized
G13	no_physics_promotion	off_shell_profile_lambda_action_source_density_mass_all_unselected	overclaim

