object	status	scope
exact_form_harmonic_obstruction	DERIVED_MATHEMATICS	compact_oriented_boundaryless_Riemannian_cell
formal_affine_alternating_direction	COLD_VERIFIED_AVAILABLE_BOUNDED_CLASS	independent_phi_sigma_coefficient_space
S3_contact_coefficient_t1	DERIVED_GIVEN_REGISTERED_SPLIT	complete_stationary_S3_general_screen_family
minus_dphi_wedge_dlog_abs_t1	DERIVED_CARTAN_DIFFERENTIAL_INVARIANT	fixed_coefficient_one_in_registered_log_area_normalization
alternating_primitive_from_phi_t1	AVAILABLE_MODULO_EXACT_REFERENCE	unselected_split_relative_one_form
m_separation	PRESENTATION_DEPENDENT_NOT_LOAD_BEARING	mixes_with_skew_L1_under_local_screen_rotation
complete_S3_independent_pullback	CONSTRUCTIVE_OFF_SHELL_WITNESS	not_realized_or_selected_physics
FC07_pullback	DERIVED_ZERO	constant_phi_on_all_eight_frozen_mapping_tori
isotropic_S3_curvature_production	OBSERVED_EXACT_ZERO_BILINEAR_CENSUS	full_curvature_of_exact_isotropic_screen_control_only
general_GL2_S3_curvature_production	OPEN	full_shear_and_rotation_first_jets_not_reduced
screen_O2_presentation_descent	DERIVED	uses_log_abs_t1
complete_frame_naturality	OPEN	pair_screen_changing_frames_not_closed
native_response_law	OPEN	no_equation_or_selected_level
density_return_bootstrap_closure	OPEN_NOT_AUTHORIZED	no_same_solution_observer_natural_return_equation
action_carrier_source_mass_matter	OPEN	untouched

