id	mutation	must_fail_reason
F01	alter_source_hash	frozen_source_universe_changed
F02	remove_or_duplicate_family	complete_F00_F17_census_broken
F03	promote_conditional_control_to_selected_native	premise_inflation
F04	identify_radial_eigenvalue_directly_with_TT_peak	missing_projection_layer
F05	infer_nonzero_power_from_mode_existence	missing_state_source_covariance
F06	make_scalar_TT_depend_on_pure_SO2_screen_frame_rotation	channel_type_error
F07	copy_P1_into_centered_CMB_lapse	role_error
F08	make_Xmax_local_wall_or_selector	frame_error
F09	interpret_pair_readout_as_local_signal_physics	observer_local_type_error
F10	allow_generated_output_to_select_or_rank_families	postselection

