id	claim	status	scope
S01	G284 question and outcomes preregistered before calculation	PASS	commit c61ed4f4
S02	15-source universe frozen by exact hash and size	PASS	SOURCE_MANIFEST.tsv
S03	local c_E cone calibration survives arbitrary symmetric T	DERIVED_BOUNDED	fixed complete metric family
S04	central frequency depth mutual and projective state identical across T	DERIVED_BOUNDED	parallel central relation
S05	neighboring cone Hessian reconstructs T exactly	DERIVED_BOUNDED	regular transverse tube
S06	causal and path-labelled network compatibility selects no T values	DERIVED_BOUNDED	finite causally convex interval
S07	c_E and dimensionless projective state remain homothety blind	DERIVED_BOUNDED	positive constant homothety
S08	curvature-of-causal-tape relation is exact missing premise type	PROVISIONAL_INFERENCE	nonidentity relation required; formula open
S09	foundational infinite bare c	WORKING_INTERPRETATION_NOT_CANON	no superluminal signalling claim
S10	fresh external adversarial review	PASS_ACCEPTED_REPAIRS_CONFIRMED	scientific landing retained; external repair-only follow-up confirmed R1 and R2
