criterion	coverage	retained	omitted_or_open	consequence
1_FIELDS	PARTIAL_TILE	N H S W varied together nonlinearly with W-squared backreaction	remaining invariant metric connections all nontoric components genuine time dependence matter fields	omitted fields may host branches
2_ACTION_TERMS	ONE_CONDITIONAL_BULK	full metric Weyl-squared density in declared ansatz	boundary/corner action EH bridge matter source other native action	C2 observation is not UDT-wide
3_FULL_EQUATIONS	REDUCED_STATIONARITY_PLUS_ROUND_FULL_CHECK	all retained spectral coefficient variations and round Bach zero	direct Bach residual for hypothetical nonround roots and unrestricted variations	certified objects are reduced roots except round exact solution
4_DOMAIN_COORDINATES	COHOMOGENEITY_ONE	eta plus stationary toric orbit with full interval	local angular generality time dependence alternate charts	one symmetry-reduced domain tile
5_BOUNDARY_REGULARITY	CONDITIONAL_SMOOTH_CAPS	primitive cap regularity in fixed conformal/coordinate gauge	physical seal wall corner moving boundary singular endpoints	no physical boundary selection
6_TOPOLOGICAL_SECTOR	ONE_CONDITIONAL_FAMILY	two periodic angles and conditional smooth cap completion	nontoric lens noncompact and other finite-cell globalizations	no topology conclusion
7_DYNAMICAL_CHARACTER	STATIONARY_ONLY	general stationary lapse shape squashing and time/fiber shift in ansatz	time-periodic hyperbolic accelerating and relaxation dynamics	no time-live theorem
8_BRANCH_BIFURCATION	BOUNDED_CENSUS	198 seeds two orders three parity sectors with all outcomes retained	51 unresolved basins larger amplitudes higher orders disconnected components	broad round basin lead only
9_STABILITY_SPECTRUM	NOT_TESTED	Hessian used as solver Jacobian only	physical constrained perturbation spectrum nonlinear persistence	stationarity is not stability
10_REGIME_OF_VALIDITY	EXPLICIT_CONDITIONAL	float64 orders 2/4 48/96 nodes smooth-cap toric C2 slice	continuum convergence outside projected gate physical UDT action boundary matter scale	one completeness tile not closure
