item	status	scope
G324_landing	EXTERNALLY_ACCEPTED_AFTER_REPAIRS	registered G323 compact split-lattice Taub quotient family
future_timelike_geodesic_completeness	DERIVED_CONDITIONAL	exact metric with chosen increasing-R time orientation
finite_positive_R_endpoint	EXCLUDED_DERIVED_CONDITIONAL	compact quotient slab and geodesic continuation
future_extension_endpoint	EXCLUDED_DERIVED_CONDITIONAL	future completeness applied to imported orientation-neutral endpoint theorem
past_C2_extension_endpoint	EXCLUDED_DERIVED_CONDITIONAL	Kretschmann blow-up after past endpoint localization
proper_time_oriented_C2_extension	EXCLUDED_DERIVED_CONDITIONAL	registered quotient metric
explicit_quotient_equals_per_datum_smooth_MGHD	DERIVED_CONDITIONAL_EXTERNALLY_ACCEPTED	G322 smooth marked development category
registered_compact_lattice_modulus_survives_MGHD	DERIVED_CONDITIONAL_EXTERNALLY_ACCEPTED	G323 invariant transferred through MGHD equality
past_C0_inextendibility	OPEN_NOT_PROVED	curvature blow-up alone is insufficient at C0
stability_and_perturbations	OPEN_NOT_TESTED	outside G324
physical_topology_or_occupancy	OPEN_NOT_SELECTED	no population rule
physical_scale	OPEN_NOT_SELECTED	mu and lattice size remain unattached
X_max	OPEN_INACTIVE	not used
metric_kernel_angular_sector	UNCHANGED	no new operator or physical mechanism
