candidate	result	decisive_reason	scope
metric_natural_unit_section	NO	round_S3_isotropy_has_no_nonzero_fixed_tangent_vector	bounded_maximally_symmetric_slice
reciprocal_scalar_or_normalized_gradient	NO_GENERIC_HOPF_SECTION	contractible_target_gradient_zero_and_Frobenius_obstruction	scalar_only
curvature_eigendirection	NO	constant_curvature_spectrum_is_fully_degenerate	round_S3
observer_centered_radial_map	SUPPLIED_AND_NON_GLOBAL	observer_and_antipode_cut_locus_singularities	chosen_observer
component_Hopf_map	FAILS_FULL_FRAME_DESCENT	basepoint_fixed_Ad_q_changes_component_Hopf_class	supplied_triad
geometric_Hopf_congruence_family	INTRINSIC_FAMILY	two_oriented_S2_isometry_orbits_of_unit_Killing_Beltrami_fields	round_oriented_S3
individual_geometric_Hopf_member	NOT_SELECTED	SO4_acts_transitively_on_each_family_and_isotropy_selects_none	round_oriented_S3
intrinsic_normalized_helicity	DERIVED_CONDITIONAL	plus_or_minus_one_for_supplied_family_member_and_orientation	supplied_geometric_member
screen_connection_or_Euler_character	DIAGNOSTIC_NOT_SECTION	G290_G292_require_supplied_screen_base_direction_identification	supplied_pair_screen
complete_relation_query_direction	SUPPLIED_POPULATION	G300_control_fiber_has_no_owned_lawful_query_section	supplied_route_or_query
