catch_id	result	meaning
C01_MISSING_CROSS_ROW	PASS	registered_corruption_rejected
C02_DUPLICATE_CROSS_ROW	PASS	registered_corruption_rejected
C03_SELECTION_PROMOTION	PASS	registered_corruption_rejected
C04_ALIGNED_B_FALSE_MODULATION	PASS	registered_corruption_rejected
C05_LOCAL_GLOBAL_CHANNEL_CONFLATION	PASS	registered_corruption_rejected
C06_UNPROVED_GLOBAL_DESCENT	PASS	registered_corruption_rejected
C07_NUMERICAL_XMAX_PROMOTION	PASS	registered_corruption_rejected
C08_SOURCE_HASH_CORRUPTION	PASS	registered_corruption_rejected
C09_MISSING_MODULATION_CHANNEL	PASS	registered_corruption_rejected
C10_SCALAR_FEEDBACK_PROMOTION	PASS	registered_corruption_rejected
C11_INDEPENDENT_FAILURE	PASS	registered_corruption_rejected
C12_UNPINNED_ALGEBRA	PASS	registered_corruption_rejected
