candidate_id	parent_projector_status	parent_configuration_alternating_class	new_intrinsic_analysis_scope
C01	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C02	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C03	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C04	INTRINSIC_PAIR	NONZERO_SIMPLE	FULL_DISTRIBUTION
C05	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C06	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C07	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C08	INTRINSIC_PAIR	NONZERO_SIMPLE	FULL_DISTRIBUTION
C09	INTRINSIC_PAIR	NONZERO_SIMPLE	FULL_DISTRIBUTION
C10	INTRINSIC_PAIR	NONZERO_SIMPLE	FULL_DISTRIBUTION
C11	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C12	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C13	INTRINSIC_PAIR	ZERO_IDENTICALLY	ZERO_CONTROL
C14	BLOCKED_UNIQUE_KILLING_LINE_ABSENT	ZERO_IDENTICALLY	CONFIGURATION_CONTROL_ONLY
C15	BLOCKED_TWIST_LINE_ABSENT	NONZERO_SIMPLE	CONFIGURATION_CONTROL_ONLY
C16	INTRINSIC_PAIR	NONZERO_SIMPLE	FULL_DISTRIBUTION
C17	INTRINSIC_PAIR	NONZERO_SIMPLE	FULL_DISTRIBUTION
C18	BLOCKED_METRIC_DEGENERATE	UNDEFINED_METRIC_DEGENERATE	DEGENERATE_CONTROL
