id	object	exact_metric_readout	status	not_implied
C01	Einsteinian c_E	finite dimensional coefficient in the clock leg and inverse clock-length conversion	OWNER_LOCKED_OBSERVATIONAL_ANCHOR	foundational carrier speed or absolute length scale
C02	stationary clock factor	dtau/dt=F*sqrt(X)	DERIVED_CONDITIONAL_POSITIVE_X_AREAL_CHART	material clock law or invariant comparison without specified congruence
C03	radial ruler factor	dell/dR=1/sqrt(X)	DERIVED_CONDITIONAL_POSITIVE_X_AREAL_CHART	global distance or nonspherical ruler
C04	radial metric-null coordinate slope	abs(dR/dt)=c_E*F*X	DERIVED_CONDITIONAL_POSITIVE_X_AREAL_CHART	locally varying fundamental c or matter propagation
C05	local-frame null-component clock-length conversion	dell/dtau_ref=c_E exactly; F and X cancel; dtau_ref is the stationary frame clock component not proper time along a null curve	DERIVED_CONDITIONAL_LOCAL_METRIC_NULL_RELATION	photon carrier detector response or global signal law
C06	reciprocal X modulation	sqrt(X)*1/sqrt(X)=1	DERIVED_ALGEBRA	threading normalization F
C07	co-present ontology	complete solution need not be generated by a foundational transit process	WORKING_OWNER_INTERPRETATION	zero metric separation simultaneity or instantaneous operational access
C08	metric causal accessibility	null cone remains internal geometry even without a foundational carrier ontology	DERIVED_CONDITIONAL_LORENTZIAN_REPRESENTATIVE	universal matter coupling or no-signalling theorem
C09	ordinary terrestrial/solar calibration	c_E is the observed clock-length baseline; X approximately 1 and F approximately 1 is the intended ordinary representative	OBSERVATIONAL_ANCHOR_PLUS_WORKING_REGIME_IDENTIFICATION	exact profile tolerance or global scale map
C10	effective c phrase	must specify coordinate slope c_E*F*X versus invariant local conversion c_E	SEMANTIC_CORRECTION_REQUIRED_FOR_FUTURE_WORK	one universal varying scalar speed
