premise_id	object	status	use	not_supplied
P01	founded_reciprocal_pair_action	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G01_G02	clock_ruler_weights	complete_embedding_or_profile
P02	local_physical_readout	DERIVED_CONDITIONAL_ON_RECORDED_READOUT	interpretation_guard_only	universal_physical_pair
P03	observer_reciprocity	pinned-by-THEORY_as_equivariance	naturality_of_any_derived_reduction	slot_selection
P04	stationary_twisted_RxS3_family	CHOSE_EXISTENCE_CONTROL:prior_registered_family	bounded_metric_arena	on_shell_selection
P05	global_Maurer_Cartan_coframe	CHOSE_EXISTENCE_CONTROL	global_regular_witness	unique_topology_or_orientation
P06	profile_u_equals_3_plus_distinct_quadratic	free-and-explored_preregistered_witness	break_continuous_spatial_symmetry	field_equation_or_physical_profile
P07	lambda_minus1_0_plus1	free-and-explored_preregistered_witnesses	transverse_response_controls	lambda_selection
P08	cE_equals_R_equals1	coordinate_unit_normalization	remove_dimensioned_redundancy	physical_value_change
P09	a_equals1	free-and-explored_preregistered_witness	nonzero_twist_and_slice_test	physical_twist_value
P10	stereographic_chart	category-A_computation_chart	exact_local_invariant_test	preferred_physical_chart
P11	three_Ricci_invariants	pinned-by-preregistered_metric_diagnostic	full_Killing_algebra_test	field_equation_or_acceptance_filter
P12	registered_evaluation_points	category-A_exact_witness_points	prove_analytic_nonidentity	retuning_after_outcome
P13	analyticity	DERIVED_FROM_REGISTERED_ANALYTIC_METRIC	extend_open_set_constraint_to_dense_set	smooth_nonanalytic_family_theorem
P14	strict_spacelike_slice	characterized_metric_stratum	valid_displayed_stationary_slicing	physical_boundary_condition
P15	discrete_symmetries	free-and-retained	do_not_affect_continuous_Killing_line	absence_assumed
P16	action_source_density_bootstrap_boundary_Xmax_matter_mass	OPEN_OR_CONDITIONAL	EXCLUDED	downstream_physics

