claim_id	layer	object	status	basis	limit	maximum_claim
C01	LOCAL_CONTINUATION	all registered motif projectors	OBSERVED_SAMPLED_BOUNDED	93920 of 95232 family paths retain one classified motif and matchable projectors at all 17 nodes	analytic configuration paths not continuous bundles EOM solutions or global fields	Local motif vocabulary usually admits sampled matching in the registered family
C02	LOCAL_TRANSVERSE	1+1+2 Lorentzian plane	OBSERVED_REGISTERED_CHART_MIXED_INTEGRABILITY	6669 numerically nonintegrable and 1536 integrable primitive rank-two planes	midpoint stencils and component-norm thresholds in registered chart only	Twisting Lorentzian planes are a candidate local building block
C03	LOCAL_FRAME	four-line complementary planes	OBSERVED_REGISTERED_CHART_NONINTEGRABLE	8370 of 8370 tested rank-two split sides are numerically nonintegrable	1395 midpoint four-line occurrences; registered chart; no topology follows	Four-line frames can carry local anholonomy candidates
C04	PHI_GRADIENT	line-plus-three complement	OBSERVED_HYPERSURFACE_LIKE	2879 locally integrable rank-three complements and one uncertain	gradient zeros and global topology remain	Gradient dyad alone remains too restricted for a generic Hopf carrier
C05	GLOBAL_LOCAL_ENSEMBLE	Hopf number for analytic identities	UNDEFINED_GLOBAL_DATA_ABSENT	no compact domain periodicity cap orientation cocycle or normalized connection supplied	all 3072 local identities	No local family is assigned Q=0 or nonzero Q
C06	TORIC_LOCAL	H+D recovery of t phi xi1 xi2 axes	GENERIC_CONDITIONAL	joint eigentuples distinguish all four axes when Omega'/Omega is not +/-1	reciprocal diagonal toric class supplied; lines unoriented	Metric instruments recover transverse Hopf-torus axes inside this class
C07	TORIC_CONTRAST	H+D four-line motif in generic local ensemble	ABSENT_IN_REGISTERED_MIDPOINTS	1536 scalar 1530 stable full irreducible six uncertain zero four-line	not a no-go beyond finite analytic family	Toric axis recovery is a special stratum not generic H+D behavior
C08	RECIPROCITY_REFLECTION	phi reversal and angular exchange	CONDITIONAL_ISOMETRY	phi reversal exchanges angular factors and phi=0 gives equal scales	requires even A squared and Omega squared plus global circle exchange	Exact conditional reciprocal mirror
C09	GLOBAL_PERIODICITY	transverse circle periods	OPEN	local projectors identify axes but not periodic identifications	global integral basis absent	No periodicity derived
C10	GLOBAL_CAPS	opposite primitive collapses	ROUND_CONTROL_EXACT_GENERAL_OPEN	round witness has cap limits 1,0 and 0,1	arbitrary A Omega and finite-cell completion open	Conditional positive control only
C11	CONNECTION	metric-dual diagonal U1 connection	DERIVED_WITHIN_CONDITIONAL_TORIC_CLASS	common Omega cancels exactly	equal-weight diagonal circle action separately supplied	CSN-independent reciprocal connection conditional on the action
C12	TOPOLOGY	finite-endpoint Chern-Simons readout	BOUNDARY_DEPENDENT	Q=f(phi_minus)-f(phi_plus)	not integral without full global premises	Finite local range does not force Hopf charge
C13	TOPOLOGY	unit Hopf class	CONDITIONAL_UNIT_CLASS	full reciprocal range opposite primitive caps 2pi periods and free abs-one action give abs Q=1	orientation and every global premise explicit	Exact compatibility witness
C14	COMPARISON	historical hopf_seed	EXACT_SEED_LEVEL_MATCH	tan eta=exp(2phi) maps the metric quotient exactly to the executed frozen degree-one Hopf seed at residual 1.3711254354120683e-14	not the relaxed field or full Map(S3,S2)	Metric quotient and numerical seed represent the same conditional unit map
C15	EMERGENCE	metric-native carrier	OPEN	local twisting precursor and conditional exact seed bridge do not select global assembly/configuration space	requires selection transport boundary and dynamics	Carrier emergence not derived
C16	DYNAMICS	L2+L4 action source stability mass	OPEN	no action or field equation entered construction	existing static result retains carrier/action/box premises	No new matter action or unconditional matter result
C17	OVERALL	motif-to-Hopf connection	LEAD	registered-chart sampled census plus exact conditional toric/seed witness	continuous/global selector carrier and action absent	Correspondence remains a lead
C18	CERTIFICATION	three fresh adversarial failures and corrections	VERIFIED-WITH-CAVEATS	67456 node-dependent transformed points including 60 uncertainty-bearing; all 63488 edges accounted as 63438 matched zero discordance and 50 unmatched; 29 mutation catches including coordinated accounting attacks	confirmatory post-second-review nonlinear-map repair; Frobenius census fixed-chart and paths sampled	Correction validates only the registered maximum conclusion
