statement	status
complete Lorentz metric is a faithful primitive geometric state	DERIVED_CONDITIONAL
rank-complete density-completed pair network reconstructs metric	DERIVED_CONDITIONAL
scalar reciprocal depth alone is complete state	REJECTED
order zero supplies a varying local metric-only natural residual	REJECTED_IN_DECLARED_REGULAR_CLASS
first metric derivative order supplies a nontrivial natural residual	REJECTED_BY_NORMAL_COORDINATE_BOUNDARY
curvature order is first local metric-natural nonidentity home	DERIVED_CLASSIFICATION
tracefree Brinkmann screen wave has nonzero Riemann and zero Ricci Einstein and tested scalars	DERIVED_EXACT
tested scalar-only residual lane propagates complete screen state	REJECTED_ON_BOUNDED_WITNESS
strict G259 class collapses to Einstein zero set	CONDITIONAL_THEOREM
strict G259 class assumptions are founded UDT	NOT_DERIVED
first-order Cartan form selects values without classifying law	REJECTED
G286 futures must be rejected by every viable law	REJECTED
G286 futures may represent distinct lawful characteristic data	DERIVED_AS_COMPATIBILITY_REFRAME
one native residual formula selected	OPEN
realized physical history	OPEN
