criterion	covered	open_or_dropped
FIELDS	founded_pair_phi_full_stationary_GL2_screen_and_registered_Hopf_generator	pair_screen_offblocks_other_fields_and_matter
ACTION_TERMS	none_loaded	complete_native_bulk_and_boundary_action
FULL_EQUATIONS	no_equation_claim_exact_kinematic_and_symmetry_geometry_only	all_native_variations_and_dynamics
DOMAIN_COORDINATES	chosen_stationary_global_R_x_S3_and_its_K_orbit_space	other_topologies_nonstationary_spacetime_and_time_live
BOUNDARY_CONDITIONS	compact_no_boundary_S3_control	physical_finite_cell_seal_and_other_completions
TOPOLOGY	one_supplied_S3_Hopf_circle_plus_noninvariant_counterbranches	physical_topology_and_fiber_selection
BRANCHES	open_rank_three_neighborhoods_fiber_invariant_fiber_dependent_twist_off_constant_depth_and_slice_sign_strata	complete_on_shell_branch_space
STABILITY	not_tested	time_persistence_and_perturbation_spectrum
OBSERVATIONS	none	all_empirical_comparison
MAXIMUM_CONCLUSION	bounded_intrinsic_clock_ruler_descent_compatibility_classification	physical_selection_carrier_action_source_boundary_density_mass_scale_and_dynamics
