item	status	role	forbidden_promotion
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	upstream bounded dynamics ownership	derived theorem or canon
Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	local finite-jet response scope	unique possible response principle
quiet_GR_principal_overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE	first-curvature bounded arena	vacuum GR imported as UDT theorem
S_ab_zero	CONDITIONAL_ACTIVE_EQUATION	trace-free Ricci equation in bounded regular vacuum	full UDT field equation in every sector
Ric_zero	DERIVED_CONDITIONAL	G321 connected Lambda=0 G320 sector	matter sourced or full UDT equation
smooth_harmonic_wellposedness	IMPORTED_MATHEMATICAL_METHOD	conditional local development theorem	native UDT derivation
maximal_GH_theorem	IMPORTED_MATHEMATICAL_METHOD	conditional MGHD per fixed datum; explicit-quotient equality remains open	native UDT derivation or arbitrary inextendibility
flat_marked_T3	CHOSE_BOUNDED_DIAGNOSTIC_DOMAIN	registered compact quotient family	physical topology
one_coordinate_diagonal_LRS	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	explicit unmarked classification slice	complete solution space
d_zero_Lambda_zero	PINNED_BY_G320_G321_CONTROL	registered Ricci-flat control sector	all UDT sectors
J0_positive	FREE_AND_EXPLORED_CONSTRAINT_CONSTANT	common local curvature/quotient reconstruction	observed mass scale or selected constant
psi_positive_periodic	FREE_AND_EXPLORED_PROFILE	registered Cauchy graphs	selected physical history
p_3_over_2_a_1_over_5	CHOSE_CATEGORY_A_CONTROL	finite n comparison	physical coefficient
n_positive_integer	FREE_AND_EXPLORED_CONTROL_FAMILY	compact-profile modes	particle number or selected population
epsilon_plus_minus	FREE_AND_EXPLORED_TIME_REVERSE_BRANCHES	orientation classification	matter antimatter or two selected universes
ambient_coordinate_change	CATEGORY_A_GEOMETRIC_METHOD	explicit isometry and embedding test	new UDT mechanism
compact_quotient_period	DERIVED_CANDIDATE_INVARIANT	unmarked global discriminator	observational scale without attachment
c_E	OBSERVED_ANCHOR_INACTIVE	not used in dimensionless quotient classification	history selector
X_max	OPEN_INACTIVE	excluded	boundary scale or selected value
