id	local_object	primary_source_object	comparison_type	result	qualification
XW01	Eight hash-pinned DR12v5 LOWZ/CMASS North/South data and random0 files	Official DR12 SAS file listing and naming models	DIRECTLY_COMPARABLE	PASS	All eight names and byte sizes agree exactly; frozen local SHA-256 values remain the stronger local identity pins
XW02	RA DEC Z and registered weight columns	Official galaxy and random data models	DIRECTLY_COMPARABLE	PASS	Independent Astropy header read found every required field and exact manifest row counts
XW03	Separate LOWZ/CMASS and North/South lanes	Official BOSS product partitions	DIRECTLY_COMPARABLE	PASS	The local partition matches official released sample and cap types
XW04	LOWZ 0.15<=Z<0.43 and CMASS 0.43<=Z<=0.70	Published notation LOWZ 0.15<z<0.43 and CMASS 0.43<z<0.7	DIRECTLY_COMPARABLE	PASS_WITH_NOTATION_CAVEAT	Independent full measured-catalog scan found zero rows whose inclusion differs; all four local scope counts reproduce exactly
XW05	W3 = WEIGHT_SYSTOT*(WEIGHT_CP+WEIGHT_NOZ-1)	Reid et al. total observational galaxy weight Eq. 50	DIRECTLY_COMPARABLE	PASS	W3 is the primary-source-supported unbiased observational lane; finite positive values and the WEIGHT_SYSTOT product identity were independently checked
XW06	W0 unit W1 spectroscopic-only W2 imaging-only	No claim that these partial lanes are official final estimators	DOCUMENTATION_ONLY	DIAGNOSTIC_CONTROLS	These remain preregistered free-and-explored controls and must not be described as coequal official BOSS estimators
XW07	No FKP or NZ; W3 galaxies and unity random weights	Reid et al. explicit optional-FKP branch with w_tot galaxies and unit randoms	DIRECTLY_COMPARABLE	PASS	Omitting FKP is a supported non-optimal weighting choice and avoids its fiducial-cosmology NZ dependence; it is not a catalog misuse
XW08	Official random0 files followed by deterministic index-hash 5x/10x/20x subsets	Official roughly-50x completeness-weighted vetoed random catalogs	COMPARABLE_WITH_DECLARED_TRANSFORM	PASS_WITH_NUMERICAL_CONTROL_CAVEAT	The source owns the parent footprint; thinning is a frozen coordinate-blind numerical choice tested across three nested densities, not a published BOSS product
XW09	Released data/random catalogs used without reapplying masks	BOSS catalog pipeline passes targets and randoms through veto masks and samples sector completeness	DIRECTLY_COMPARABLE	PASS	Reapplying separate masks would double-apply release construction; parent released products own the footprint selection used locally
XW10	Weighted finite-sample DD DR RR normalization and Landy-Szalay combination	Menote and Marra Eqs. 13-16	DIRECTLY_COMPARABLE	PASS	Formulas agree exactly; direct finite enumeration independently reproduced all three denominators
XW11	Observed-angle curves on 0.25-degree bins from 0.25 to 30 degrees across both caps four weights and fixed 0.01/0.02/0.04 shell unions	Menote and Marra North-only curves with different sample combination shell centers widths FKP weights 0.3-degree bins and 1.5-to-7-degree range	DIRECTLY_COMPARABLE_IF_EXACT	NO_EXACT_NUMERIC_MATCH	Estimator architecture is consistent but no published curve can be compared numerically under the frozen type gate
XW12	Unassigned raw R2 shapes and data-only R3 covariance	Published peak template mock covariance projection extrapolation inference correction and acoustic interpretation	NONCOMPARABLE_MODEL_TRANSFORM	QUARANTINED	Published BAO positions errors significances and corrected peak locations cannot validate tune or falsify the raw UDT pipeline
