source_id	access_grade	primary_locator	exact_supported_scope	limitations
S01	PRIMARY_PUBLISHER_METADATA	https://onlinelibrary.wiley.com/doi/10.1002/andp.19163540702	GR foundation formulates gravitation through metric geometry and generally covariant field equations	No claim that Einstein equations are UDT physics; full text was not made load-bearing here
S02	PRIMARY_PUBLISHER_METADATA_CORRECTED	https://academic.oup.com/plms/article-abstract/s2-32/1/241/1437717	Synge introduces a two-point characteristic function tied to geodesic geometry	Corrected from frozen preregistration; local uniqueness scope is carried by S13 full text
S03	PRIMARY_ARCHIVED_THESIS_FULL_TEXT_PLUS_PUBLISHER_METADATA	https://era.ed.ac.uk/items/bcd8dbae-8d67-4c0d-87ce-d2b59083376f	Distance definitions correlate source and observer events through null-geodesic geometry and admit source-observer reversal	Geometrical reciprocity is kept distinct from later luminosity-distance claims and their physical assumptions
S04	PRIMARY_JOURNAL_ABSTRACT	https://www.actaphys.uj.edu.pl/T.php?v=15	An observer tetrad uses observer velocity and local axes; Fermi transport and geodesic deviation give curvature operational meaning	Abstract scope only
S05	PRIMARY_FULL_TEXT	https://www.ams.org/journals/tran/1953-075-03/S0002-9947-1953-0063739-1/S0002-9947-1953-0063739-1.pdf	Curvature data generate the restricted holonomy algebra/group in the theorem's connection-bundle setting	Does not select a UDT structure group or connection
S06	PRIMARY_ABSTRACT	https://doi.org/10.1098/rspa.1961.0202	Outgoing-radiation conditions are formulated covariantly using null-line geometry and curvature	No full Sachs optical hierarchy is attributed from this abstract alone
S07	PRIMARY_REPRINT_FULL_TEXT	https://bpfoundations.org/plans/ehlers2012.pdf	Light rays give conformal structure; free fall gives projective structure; compatibility gives Weyl structure; an integrability/no-second-clock condition gives a metric up to constant scale	Explicitly local construction; operational light/free-fall primitives are inputs, not UDT derivations
S08	PRIMARY_ABSTRACT_METADATA	https://doi.org/10.1063/1.523436	Under distinguishing hypotheses the continuous timelike-curve structure determines topology and conformal structure	Does not reconstruct metric scale or UDT dynamics
S09	PRIMARY_ABSTRACT_METADATA	https://doi.org/10.1007/BF01645389	Constraint-satisfying initial data possess a maximal Cauchy development unique by the stated embedding relation	Requires Einstein dynamics, constraints, initial data, and global hypotheses; comparison-only
S10	PRIMARY_PUBLISHER_ABSTRACT	https://link.springer.com/article/10.1007/BF00671007	Path/holonomy data can be treated as primary and used to reconstruct bundle and connection structure	Paper flags technical qualifications; no direct UDT adoption
S11	PRIMARY_METADATA_ONLY	https://doi.org/10.1088/0264-9381/8/2/011	Registered as historical relational-observable context	Non-load-bearing; exact relational construction is carried by S17
S12	PRIMARY_FULL_TEXT	https://arxiv.org/abs/astro-ph/0610462	Observer astrometric readouts can be expressed using Synge's two-point world function and endpoint data	Uses supplied GR geometry and light-ray model
S13	PRIMARY_FULL_TEXT	https://arxiv.org/abs/0711.0034	Time/frequency transfer uses a two-point world function and endpoint observers within a normal convex neighborhood with a unique connecting geodesic	The paper's single-geodesic domain is explicit; not a global path-free law
S14	PRIMARY_FULL_TEXT	https://arxiv.org/abs/0705.0452	Parallel transport is a smooth functor on the thin-path groupoid and is equivalent to bundle-with-connection data via descent	A mathematical architecture theorem, not a UDT physical selector
S15	PRIMARY_FULL_TEXT	https://arxiv.org/abs/1210.0019	Observer space can be primary; spacetime recovery requires integrability and, for a smooth global quotient, completeness plus a free proper action	Does not show that current UDT data meet those gates
S16	PRIMARY_FULL_TEXT	https://arxiv.org/abs/1310.1088	An observer field reduces Lorentz symmetry and splits fields while simultaneous transformation of physical and observer fields preserves local Lorentz covariance	Observer choice is not thereby a preferred physical frame
S17	PRIMARY_FULL_TEXT	https://arxiv.org/abs/gr-qc/0507106	Complete observables are relational values of one partial observable at specified values of clock/reference variables and require gauge-orbit uniqueness conditions	Imports neither those clock fields nor canonical GR constraints into UDT
S18	PRIMARY_FULL_TEXT	https://arxiv.org/abs/gr-qc/0306108	Global hyperbolicity supports smooth spacelike Cauchy hypersurfaces and a smooth product splitting	A global theorem with explicit causal hypotheses, not a local metric consequence
