premise_id	premise	status	role_in_audit	not_supplied
P01	co_presence_as_shared_event_domain_membership	WORKING	whole_solution_semantics	constraint_functional_or_dynamics
P02	event_relative_causal_reachability_from_metric_conformal_class	DERIVED_CONDITIONAL	causal_geometry	material_response_theorem
P03	four_dimensional_arena	INHERITED	comparison_space	native_dimension_selection
P04	finite_mirrored_cell	CANONIZED_BINDING	global_domain	complete_boundary_action_or_charge
P05	bulk_diffeomorphism_covariance	TRIAL_CONDITIONAL	comparison_class	active_finite_cell_group
P06	complete_parent_covariant_equation_for_ADM_projections	NOT_ASSUMED	prerequisite_test	native_action_or_equations
P07	foliation_unit_normal_lapse_and_shift	POST_SCALE_COMPARISON_ONLY	projection_formalism	preferred_foliation_or_native_ontology
P08	bootstrap_as_realized_solution_closure	WORKING_ON_SHELL	whole_solution_admissibility	off_shell_functional_or_selection_map
P09	generic_multiplier_and_restricted_variation	CATEGORY_A_MATHEMATICS	role_countermodels	native_constraint
P10	retarded_constraint_propagation	OPEN_REQUIRES_DYNAMICS	causal_response_test	complete_hyperbolic_system_and_data
P11	GR_hamiltonian_and_momentum_constraints	NOT_ADOPTED	objects_to_regrade	UDT_parent_equations_and_foliation
P12	July_1_provenance_firewall	BINDING	affirmative_provenance	pre_July_affirmative_physics
