item	status	ownership
c_E	OBSERVED	reciprocal clock/ruler calibration only
dual_reciprocity_and_exponential_pair_depth	DERIVED_CONDITIONAL	on the founding ordered-depth representation and its stated premises
G75_profile_family	CHOSE_CONTROL	591 exact center-regular stationary profiles on 0<=x<=1; not selected physics
G75_declared_endpoint_x_1	CHOSE_CONTROL	comparison surface only; not X_max or a physical source surface
continuation_x_1_to_2	FREE_AND_EXPLORED	transparent continuation of the same formulas; not inherited domain authority
AM_lapse_zero_x_2	EXACT_CANDIDATE	stationary Killing-lapse zero of A=1-x^2/4 only
A0_AP_no_positive_lapse_zero	EXACT_WITHIN_THIS_ANSATZ	does not exclude other global pair-asymptote realizations
stationary_endpoint_phi	DERIVED_CONDITIONAL	Killing-observer ratio on a supplied stationary source/receiver query
proper_radial_length	CANDIDATE_READOUT	metric-derived along the radial stationary slice; not the physical separation law
R	CHOSE_CONTROL	R=1 in numerics; physical scale remains open
receiver_x_1_4	CHOSE_CONTROL	path-atlas anchor only
receiver_recenter_grid	FREE_AND_EXPLORED	x=1/4,1/2,3/4,1 exact comparison grid
approach_lapse_levels	FREE_AND_EXPLORED	2^-4,2^-8,2^-12 bounded asymptotic samples
angular_mixing_q	FREE_AND_EXPLORED	all 197 AM G75 rows retained in complete path/Jacobi calculation
physical_source_surface	OPEN	not selected
observer_pair_separation_operator	OPEN	not derived by this audit
X_max_value_or_global_join	OPEN	frame-shared positional-dilation asymptote remains uncalculated
CMB_interpretation	OPEN	no sky or spectrum conclusion
time_live_dynamics	OPEN	not tested
bootstrap_density	POSIT_OPEN	not used as a selector
