item	status	role	forbidden_promotion
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	upstream bounded dynamics ownership	derived theorem or canon
Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	local finite-jet response scope	unique possible response principle
quiet_GR_principal_overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE	first-curvature bounded arena	vacuum GR imported as UDT theorem
S_ab_zero	CONDITIONAL_ACTIVE_EQUATION	trace-free Ricci equation in bounded regular vacuum	full UDT field equation in every sector
Ric_zero	DERIVED_CONDITIONAL	connected Lambda=0 G320/G321 control sector	matter-sourced or full UDT equation
explicit_Taub_metric	DERIVED_CONDITIONAL_G323	tested spacetime in registered quotient family	selected physical history
flat_marked_T3	CHOSE_BOUNDED_DIAGNOSTIC_DOMAIN	registered compact quotient family	physical topology
registered_split_lattice	CHOSE_BOUNDED_DIAGNOSTIC_FAMILY	G323 quotient modulus scope	all compact quotients
mu_positive	FREE_AND_EXPLORED_CONSTANT	regular Taub metric parameter	observed or selected scale
R_positive	PINNED_BY_EXPLICIT_CHART	entire displayed quotient development	physical boundary or preferred radius
Kretschmann_scalar	DERIVED_CONDITIONAL_G323	C2 past-extension obstruction	C0 curvature obstruction
causal_geodesic_first_integral	DERIVED_CONDITIONAL_G323	proper/affine reach calculation	new dynamics
Choquet_Bruhat_Geroch_MGHD_theorem	IMPORTED_MATHEMATICAL_METHOD	per-datum smooth MGHD interface	native UDT law or arbitrary extension theorem
Galloway_Ling_Sbierski_Theorem_2	IMPORTED_MATHEMATICAL_METHOD	orientation-neutral timelike endpoint in any C0 extension; G324 future completeness forces the endpoint past-directed	native UDT law or full C0 inextendibility
geodesic_ODE_continuation	IMPORTED_MATHEMATICAL_METHOD	finite-positive-R endpoint exclusion	physical propagation postulate
compact_lattice_modulus	DERIVED_CONDITIONAL_G323	unmarked global discriminator	physical occupancy or ruler attachment
c_E	OBSERVED_ANCHOR_INACTIVE	not used in dimensionless maximality test	history selector
X_max	OPEN_INACTIVE	excluded	boundary scale or selected value
