id	object	status	count_or_form	map_rule	failure_if_confused
G01	coframe_to_metric	DERIVED_REPRESENTATION_RELATION	16 coframe components minus 6 local Lorentz generators gives 10 metric components	Store coframe and invariant metric outputs separately; never count frame rotation as a new metric solution.	Gauge copies inflate branches or one coframe is called physical.
G02	local_Lorentz_frame	GAUGE_FOR_METRIC_GEOMETRY	6 local functions	Quotient or gauge-fix only with reconstruction and residual checks.	Angular frame rotation mistaken for matter or removed physical holonomy.
G03	coordinate_diffeomorphism	REPRESENTATION_EQUIVALENCE	4 local functions	Use gauge conditions only for numerical well-posedness and retain invariant comparison.	Coordinate residuals or off-diagonals misclassified as physics.
G04	CSN_common_scale	FOUNDATIONAL_PRE_SCALE_EQUIVALENCE	1 positive local function	Keep conformal class primary before physical representative; record representative-dependent quantities.	Omega=1 becomes an untagged physical choice or true relative lapse is gauged away.
G05	reciprocal_phi_character	FOUNDING_INTERNAL_METRIC_JOIN_CONDITIONAL	D(phi)=diag(exp(-phi),exp(phi))	Treat phi as a signed character coordinate; branch over metric-only readout independent field coframe reduction and constraint implementations.	Phi is double-counted as an eleventh metric component or identified with distance.
G06	2_plus_2_split	CONDITIONAL_REALIZATION	chosen Lorentzian rank-two subbundle plus positive complement	Use general 2+2 slots only below an explicit split node; keep abstract coframe and alternate/type-changing splits.	One base/screen assignment becomes foundational.
G07	screen_basis_rotation	LOCAL_FRAME_OR_COORDINATE_GAUGE_WITH_GLOBAL_DATA	SO2 locally plus transition data	Diagonalize q only locally and preserve connection transition Wilson cap and topology data.	Moving eigenvectors or global twist silently disappears.
G08	base_boost_or_tilt	GAUGE_AND_POSSIBLE_SOLDERING_DATA_MUST_BE_SEPARATED	local O(1,1) after a Lorentzian split	Gauge-fix with observer/soldering premise ledger; retain invariant base distribution and cross-sector curvature.	Base g01 is simply deleted and observer physics imported.
G09	physical_representative	OPEN_POST_SCALE_SELECTION	section of CSN orbit	No empirical or GR readout until the representative branch is frozen and sourced.	Representative-dependent curvature volume or mass ranks pre-scale branches.
G10	field_redefinition_and_chart_change	NUMERICAL_METHOD_IF_INVERTIBLE	bijective on declared domain	Record inverse domain singular sets and branch mapping.	A singular redefinition deletes zero or type-changing strata.
