item	status	role	open_scope
c_E	OBSERVED__DIMENSIONLESS_CONTROL_VALUE_ONE	clock_ruler_calibration_only	physical placement
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	acts_after_complete_pullback	canon_and_global_extension
displayed_complete_coframe	CHOSE_MATHEMATICAL_FUNCTION_FAMILY	bounded_two_function_G191_extension	general_complete_metric_arena
a_of_eta	FREE_AND_EXPLORED__POSITIVE_C3__A0_EQUALS_ONE_CALIBRATION	common_scale_function	physical history ownership
mu_of_eta	FREE_AND_EXPLORED__REAL_C2	signed_mixing_function	physical history ownership
regularity_order	PINNED_BY_MATHEMATICAL_OPERATOR_ORDER	connection_curvature_and_residuals	lower_regularities_not_classified
central_pair	CHOSE_QUERY	supplied_completed_pair	physical pair population
plus_z_orientation	CHOSE_QUERY	local_outgoing_null_germ	global endpoint route
affine_frequency_screen	DERIVED_CONDITIONAL	same_metric_initial_value_problem	global branch aggregation
P1_G116_G189_static_profiles	OMITTED_FORBIDDEN_INPUTS	regression_or_later_interface_only	applications
transfer_luminosity_source_observations	OMITTED	outside_geometric_evaluator	native_radiative_theory
X_max	OMITTED	possible_global_consequence_only	value_and_realization
