id	object	status	regime	evidence	remaining_open
S01	supplied_carrier_map	CONDITIONAL_SUPPLIED	ROUND_INTERNAL_S2_POSIT	native_Hopf_audit_T05_T06	native_emergence_and_physical_boundary
S02	pullback_two_form_F	DERIVED_EXACT_CONDITIONAL	SUPPLIED_MAP_AND_TARGET_AREA_FORM	F_equals_pullback_n_omega	carrier_and_domain_authority
S03	exterior_closure_dF	DERIVED_EXACT_CONDITIONAL	SMOOTH_SUPPLIED_MAP	d_squared_zero_and_domega_zero	none_within_declared_map
S04	torsion_free_covariant_rewrite	DERIVED_EXACT	ANY_TORSION_FREE_CONNECTION	dF_equals_three_nabla_antisym_F	physical_connection_still_open
S05	torsionful_naive_covariant_rewrite	REFUTED	GENERAL_AFFINE_CONNECTION	exact_symbolic_identity_and_independent_witness	torsion_must_be_included
S06	torsion_corrected_covariant_rewrite	DERIVED_EXACT	GENERAL_AFFINE_CONNECTION	exact_torsion_identity	none_as_identity
S07	primitive_gauge_invariance_of_Q	DERIVED_EXACT_CONDITIONAL	CLOSED_OR_FIXED_BOUNDARY_CLASS	a_shift_changes_integrand_by_exact_form	physical_boundary_framing
S08	Hodge_or_Coulomb_primitive	METRIC_BOUNDARY_GAUGE_DEPENDENT	GLOBAL_REPRESENTATIVE	star_weight_q_inverse_and_elliptic_boundary_problem	physical_representative_rule
S09	Hopf_principal_vs_affine_connection	TYPE_DISTINCT	DECLARED_BUNDLES	principal_U1_bundle_vs_TM_covariant_derivative	global_Hopf_bundle_still_conditional
S10	conditional_toric_unit_class	AFFINE_TRANSPORT_INDEPENDENT_CONDITIONAL	SUPPLIED_TORIC_GLOBAL_PREMISES	first_Chern_readout_uses_principal_bundle_data	native_selection_of_toric_quotient
S11	S2_fiber_selects_section	NOT_DERIVED	NONNULL_DPHI_LOCAL_STRATUM	intrinsic_object_and_coframe_bridge_audits	trivialization_transport_and_global_completion
S12	internal_target_L2_plus_L4_direct_affine_dependence	NO_DIRECT_AFFINE_INPUT	SUPPLIED_INTERNAL_TARGET_ACTION	ordinary_target_derivatives	metric_carrier_action_coefficients_boundary
S13	internal_target_L2_plus_L4_under_h_f	NOT_INVARIANT	THREE_DIMENSIONAL_SPATIAL_CONFORMAL_CHANGE	E2_weight_q_and_E4_weight_q_inverse	physical_metric_and_coefficient_rule
S14	tangent_or_null_section_action	OPEN_NOT_SUPPLIED	ASSOCIATED_OR_TANGENT_BUNDLE	selected_bundle_connection_or_intrinsic_derivative_needed	section_transport_action_boundary
S15	static_Hessian_stability	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	EXISTING_FLAT_BOX_CARRIER_ACTION_OPERATOR	native_Hopf_audit_T10	no_export_to_other_metric_transport_or_time_branch
S16	time_live_persistence	OPEN	PHYSICAL_EVOLUTION	no_native_dynamics_or_physical_boundary	time_live_action_and_regular_global_solution
S17	physical_boundary_framing	OPEN	COMPLETE_FINITE_CELL	solver_wall_is_not_physical_authority	native_boundary_completion
S18	current_bootstrap_role	WORKING_OUTER_ADMISSIBILITY_ONLY	COMPLETE_MATTER_BEARING_SOLUTIONS	bootstrap_selector_R08_R09	no_complete_action_source_mass_volume_boundary_or_solutions
S19	future_Sigma_or_varied_B	OPEN_CONDITIONAL_FORM	FUTURE_TYPED_BOOTSTRAP	bootstrap_selector_R10_R11_R12	actual_derived_map_or_functional_and_variation_domain
S20	density_bracket_now	NOT_OPERATIONAL	CURRENT_HOPF_TRANSPORT_AUDIT	total_proper_density_requires_complete_mass_and_volume	complete_matter_and_global_geometry
S21	topological_core	TRANSPORT_INDEPENDENT_CONDITIONAL	SUPPLIED_MAP_DOMAIN_ORIENTATION_NORMALIZATION_BOUNDARY	exact_de_Rham_and_gauge_identities	native_carrier_and_boundary
S22	emergent_native_Hopf_realization	OPEN_JOIN	COMPLETE_UDT_METRIC_AND_MATTER	fiber_is_not_section_and_transport_action_boundary_dynamics_open	section_transport_trivialization_global_completion_dynamics
