path	sha256	role
CURRENT_SCIENTIFIC_PREMISES.tsv	051e27b985867d9ee5728b6c353a4bd3edbadb9d80841fe0068d6cc21e642f50	current premise ownership registry
udt_complete_observer_network_assembly_from_scratch_2026-08-11/AUDIT_REPORT.md	1bf3d786672d9ec5cd8f18e8700ed10a5c5dc3b18cf9b81d03b8fef0ab7b6873	G62 finite-network result
udt_complete_observer_network_assembly_from_scratch_2026-08-11/EXACT_DERIVATION.md	3f8362f799137ff0acc3d89ddb8024d10f765abc3f4aa68c6a23fd6d280063c6	G62 exact assembly algebra
udt_native_history_restriction_from_scratch_2026-08-10/AUDIT_REPORT.md	7426ca4a5d20d779d9c2df6df6f18071bb1bbba14213c26cb2d3e63c433f77c2	no owned local history law scope
udt_native_history_restriction_from_scratch_2026-08-10/EXACT_DERIVATION.md	d4ad8db35d68bba341b9c93c43a2fac4bc1a71235a2769f67190b38fab297dc6	finite jet openness algebra
udt_complete_timelive_orchestra_compatibility_audit_2026-08-10/AUDIT_REPORT.md	6380857ad4d7b133aededa11f79e7c1929913e9cdda900f62e901e92fd6fad61	time-live ownership scope
udt_complete_timelive_orchestra_compatibility_audit_2026-08-10/EXACT_DERIVATION.md	f6ce405e7bdb9c590d48fbeca728e879d9f0225aad3066424a2d3cf9e0e709d5	complete coframe movie formulas
udt_pair_instrument_mixing_solution_space_audit_2026-08-10/AUDIT_REPORT.md	38dd5e943c5c0e1e68a3ed52bbaee9d88c45fcb24d4acea73c0e9b8e871ac8e8	orchestra ownership scope
udt_pair_instrument_mixing_solution_space_audit_2026-08-10/EXACT_DERIVATION.md	82a7a80fa58a5196ef27e8ca8e773ed0a78956a9044fe1a5699ce83494758209	complete pair matrix formulas
udt_global_relation_family_branch_classification_2026-08-10/AUDIT_REPORT.md	21f9dc0e9e390383ad8a3ce88f9d16bb1dab2553db8fc940ffb6b9e28f8a2a71	branch relation family scope
udt_global_relation_family_branch_classification_2026-08-10/EXACT_DERIVATION.md	bf328179f5e82ad5f133aab84e50f50774f30f82e80d442ebd2d77aa5fffd9fd	branch relation formulas
udt_global_descent_pair_surface_reset_ownership_audit_2026-08-10/AUDIT_REPORT.md	e3be03f76e6475bb589659a3407778455918f5143bf99bd683d91ea62357ecd9	global descent ownership scope
udt_global_descent_pair_surface_reset_ownership_audit_2026-08-10/EXACT_DERIVATION.md	ade72b001a6f67db6961da309b4c7a8c0092c84e5fead7f894bc5c12c28b100e	global descent exact structures
udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/AUDIT_REPORT.md	c87561e10fe90b1a4df173e95175ddceb78681314e72c0838f9a15cfa0814fe0	R17 path connection scope
udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/EXACT_DERIVATION.md	f789f2196b451a0e9d9d530d7b436800ec3ea17c273a410ffc56c1e03a12aa50	R17 connection formulas
udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/AUDIT_REPORT.md	7259611af38f9b4f374d22390f1b5580044d211d2b117701fb007affc64f8944	R17 global pair foliation scope
udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	c041ccf8a718d44728abe2f617767b8553e3d2795aa9988945d93035ff0b7ec2	R17 pair foliation formulas
udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	terminal cE scope
udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	terminal pair metric equations
udt_copresent_causal_pair_functor_selector_audit_2026-08-10/AUDIT_REPORT.md	a9096d6251562959f16325bf165b475f3b81b430abdc415bcf4a1328a6815722	causal scope
udt_copresent_causal_pair_functor_selector_audit_2026-08-10/EXACT_DERIVATION.md	b126515633a6f2aff6d34df820c005c9c77f46d279bf890781e3e67597c9333b	pair cone equations
udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md	8860dbefd6e99f4f9de966497f56022b268d2e0d1299383354b457d60480c638	Xmax semantic guard
