id	object	status	exact_scope	remaining_open
S01	full_positive_screen	DERIVED_AREA_PLUS_TWO_SHEARS	stationary_block_screen_family	physical_screen_and_nonblock_metric
S02	oriented_screen_complex_structure	DERIVED_NO_REAL_LINE_SELECTOR	every_oriented_positive_screen	orientation_and_global_circle
S03	arbitrary_general_screen_is_toric	REFUTED_BY_GLOBAL_SMOOTH_COUNTEREXAMPLE	chosen_S3_general_P_family	native_symmetry_reduction
S04	theta1_contact_structure	DERIVED_COFRAME_CONDITIONAL_ALL_P	chosen_twisted_S3_kappa_nonzero_finite_phi_detP_nonzero	global_branch_and_metric_ownership
S05	theta1_contact_implies_periodic_Reeb	REFUTED_EXACT	smooth_positive_scaled_Hopf_contact_family	regularity_or_periodicity_law
S06	founded_depth_normalized_ruler_form	DERIVED_COFRAME_CONDITIONAL	exp_minus_phi_theta1_equals_sigma3	complete_4D_pair_ownership
S07	normalized_ruler_Hopf_bundle	DERIVED_CONDITIONAL_ALL_P	chosen_global_period_normalized_Maurer_Cartan_S3	physical_S3_selection_and_orientation
S08	normalized_ruler_metric_intrinsic_overlap	DERIVED_BOUNDED_OVERLAP	positive_slice_plus_existing_intrinsic_pair_C01_to_C06	persistence_for_general_P
S09	full_screen_metric_descent	CONDITIONAL_ONLY_IF_FIBER_EQUIVARIANT	free_circle_with_invariant_h	arbitrary_P_can_fail
S10	general_toric_metric_dual_connection	DERIVED_CONDITIONAL	supplied_T2_invariant_torus_orbit_block_and_primitive_w_in_orthogonal_interval_gauge_or_orbit_component	w_and_T2_selection_and_possible_basic_radial_term
S11	common_positive_screen_factor	DERIVED_ALGEBRAIC_CANCELLATION	A_h_w_definition	physical_scale_status_unchanged
S12	full_screen_shear_effect	DERIVED_LOCAL_DEFORMATION	fixed_toric_action_and_bundle	no_local_unique_geometry
S13	fixed_bundle_Chern_class_under_shear	DERIVED_CONDITIONAL_INVARIANCE	fixed_caps_free_w_period_orientation	topology_and_fiber_selection
S14	free_circle_cap_criterion	DERIVED_WITHIN_TORIC_CLASS	primitive_two_cap_completion	other_quotients_and_actions
S15	unit_Hopf_class	UNIQUE_CONDITIONAL_ONLY_AT_P1	S3_plus_free_circle	global_completion_selection
S16	lens_principal_bundle_family	ALLOWED_EXACT_COUNTERFAMILY	L_p_1_and_exchange_symmetric_odd_p	physical_topology_ranking
S17	mirror_exchange_selects_unit_class	REFUTED_EXACT	primitive_exchange_cap_family	stronger_cap_rule_absent
S18	quotient_base_shape	OPEN_NOT_ROUND_SELECTED	Schur_metric_det_h_over_hww	native_screen_equation
S19	canonical_bundle_projection_as_carrier	BLOCKED_TYPE_GAP	one_conditional_projection	Map_S3_S2_deformations_section_and_action
S20	finite_cell_and_bootstrap_selector	ABSENT_CURRENTLY	current_registered_premises	complete_boundary_and_on_shell_ranking_law
N22	metric_to_Hopf_bridge	STRONGER_CONDITIONAL_DEPTH_NORMALIZED_CONTACT_HOPF_BUNDLE_ROUTE__NATIVE_CARRIER_OPEN	chosen_twisted_S3_coframe_all_P_plus_bounded_metric_intrinsic_overlap	selected_complete_branch_descent_carrier_action
T18	angular_toric_gate_chain	REFINED_CONTACT_OR_TORIC_GLOBAL_REGULARITY_AND_DESCENT_GATE_CHAIN__NO_SELECTION	static_global_full_screen_rederivation	native_global_selector
S23	action_source_boundary_density_mass_dynamics	OPEN_UNCHANGED	not_loaded	complete_physics
