item_id	prior_object	prior_status_or_language	corrected_status	reason
R01	complete_arrow_timelike_strain_extractor	DERIVED_REGULAR_SIGNED_EXTRACTOR_AND_REVERSES	STRAIN_EXTRACTOR_NOT_A_GENERAL_COCYCLE__RETAIN_AS_ENDPOINT_FRAME_INVARIANT_REGULAR_STRATUM_READOUT	C_(BA)=A_dagger C_B A; timelike strain eigenvalues do not multiply under mixing
R02	phi_orchestra_structural_home	REAL_GROUPoid_1_COCYCLE_HOME_DERIVED	UNCHANGED_STRUCTURAL_HOME__PHYSICAL_COCYCLE_OPEN	composition correctly types the desired law even though the strain example does not supply it
R03	ceff_depth_orchestra_three_way_identity	STRAIN_EIGENVALUE_CALLED_DEPTH_COCYCLE	PURE_RECIPROCAL_OR_SELECTED_REFERENCE_IDENTITY_RETAINED__MIXED_STRAIN_EXTRACTOR_NOT_PROMOTED__COMPLETE_CEFF_EXTENSION_OPEN	pure reciprocal algebra is exact; mixed complete arrow and physical A remain unowned
R04	founding_phi_ownership	RELATIONAL_CHARACTER_ON_SUPPLIED_DEPTH__POINTWISE_PHI_PRESENTATION_POTENTIAL	UNCHANGED_AND_REINFORCED	flag character still requires supplied comparison state and arrow
R05	complete_coframe_extension	OPEN_SEVEN_PARAMETER_FINITE_LIFT	UNCHANGED__CAUSAL_FLAG_DOES_NOT_SELECT_FINITE_LIFT	flag typing is not a complete-coframe integration law
R06	Xmax_asymptotic_limit	WORKING_FOUNDATIONAL_POSITIONAL_DILATION_ASYMPTOTE	UNCHANGED_WORKING_GATE__NO_PROFILE_VALUE_OR_BOUNDARY_SELECTED	flag readout does not provide separation-to-depth realization
R07	full_GL_no_go_external_response	NO_ADDITIVE_ARROW_ONLY_DEPTH	CONDITIONAL_NO_GO_ONLY_FOR_UNTYPED_FULL_GL_ARROW_GROUP	correctly typed moving-flag coefficients evade the commutator obstruction
R08	reciprocal_root_flag_formula	PROMISING_EXACT_COCYCLE	CONDITIONAL_UNIQUE_UNIVERSAL_ORDER_ZERO_READOUT__NOT_UNIQUE_FULL_SMOOTH_CLASS__NOT_PHYSICAL_RULE	complete exchange extension flag ownership arrow and calibration remain additional
R09	old_O11_boost_wording	FOUNDED_MATRIX_CALLED_EXACT_O11_BOOST	ALGEBRAICALLY_O11_FOR_K_BALANCED_FORM_ONLY__NOT_A_PHYSICAL_ETA_LORENTZ_BOOST	K is the dual evaluation pairing and K swap is an eta anti-isometry
R10	N03_missing_groupoid_cocycle	OPEN	UNCHANGED_BUT_NARROWED_TO_COMPARISON_STATE_ARROW_AND_CALIBRATION_OWNERSHIP	mathematical cocycle class now sharper; physical selector still absent
