premise_id	premise	classification	used	consequence_if_removed
P01	registered_GL2Z_transition_matrices	pinned-by-THEORY	YES	monodromy_graph_family_not_instantiated
P02	transition_descent_v_plus_equals_M_v_minus	pinned-by-THEORY	YES	endpoint_graph_fiber_not_defined
P03	full_transformed_jets_match_for_Ck_join	pinned-by-THEORY	YES	jet_matching_family_not_defined
P04	physical_seam_and_k	free-and-explored	NO	remain_open_no_physical_join_selected
P05	registered_two_cap_toric_family	pinned-by-HABIT_CHOSe_PARENT	YES_ONLY_G08	cap_fiber_loses_conditional_realization
P06	cap_cycles_and_smooth_even_jets	pinned-by-THEORY_WITHIN_P05	YES_ONLY_G08	f_cap_and_cap_jet_constraints_not_obtained
P07	complete_metric_profile_for_each_completion	free-and-explored	NO	G07_G09_remain_schemas_not_realized_families
P08	parallel_or_base_constant_section	pinned-by-HABIT_REJECTED	NO	fixed_subspace_cannot_be_promoted
P09	curvature_level_operator_domain_or_measure	pinned-by-HABIT_REJECTED	NO	curvature_level_spectrum_average_routes_remain_blocked
P10	integral_weight_or_normalization	pinned-by-HABIT_REJECTED	NO	no_global_average_selector
P11	action_variation_or_field_equation	free-and-explored	NO	no_dynamics_or_on_shell_claim
P12	carrier_source_density_or_desired_outcome	free-and-explored	NO	no_matter_stability_or_filter_claim
P13	observer_frame_naturality	pinned-by-THEORY	YES	results_are_transition_covariant_in_stated_scope
P14	completion_selection	free-and-explored	NO	parameterization_does_not_select_parameter
