gate_id	mutation_or_failure	must_fail_or_narrow
F01	inherited_candidate_missing_duplicate_or_changed	candidate_universe_integrity
F02	parent_candidate_or_source_hash_mismatch	frozen_parent_authority
F03	new_profile_point_lambda_a_or_epsilon_added_after_outcome	preregistration_integrity
F04	intrinsic_analysis_assigned_to_C14_C15_or_C18	projector_gate
F05	configuration_control_called_intrinsic	configuration_intrinsic_boundary
F06	alpha_or_beta_has_unreported_T_component	stationarity_decomposition
F07	W_not_equal_W_HH_plus_W_SH	complete_component_decomposition
F08	pair_pair_component_or_iT_W_nonzero_without_regrade	spatial_two_form_claim
F09	Hodge_dual_formula_or_orientation_sign_mismatch	dual_line_construction
F10	orientation_or_T_S_N_sign_changes_Pi_W	line_projector_naturality
F11	iN_W_nonzero_on_registered_nonzero_candidate	kernel_identity
F12	nonzero_W_assigned_kernel_dimension_other_than_two	four_dimensional_rank_kernel_identity
F13	zero_W_assigned_a_unique_kernel_line	zero_locus_guard
F14	decomposable_nonzero_two_form_called_matrix_rank_one	rank_terminology
F15	ruler_aligned_screen_contained_and_generic_mixed_not_disjoint	type_partition
F16	nonzero_intrinsic_point_falls_into_no_line_type	type_exhaustion
F17	component_index_convention_guessed_not_derived	coframe_convention_guard
F18	screen_coframe_rotation_changes_line_type	O2_gauge_invariance
F19	shear_or_lambda_claimed_to_change_ZW_without_exact_formula	zero_locus_provenance
F20	a_or_orientation_claimed_to_change_ZW	constant_and_sign_invariance
F21	positive_denominator_zero_treated_as_geometric_locus	denominator_guard
F22	zero_locus_claim_not_exhaustive_on_unit_S3	global_zero_locus
F23	connected_component_count_inferred_from_samples_or_plot	global_topology_guard
F24	projective_line_extended_by_canceling_factor_without_path_limit_test	extension_guard
F25	path_dependent_or_multivalued_limit_called_unique_extension	extension_honesty
F26	singular_intersection_silently_removed	complete_cell_census
F27	one_profile_per_mode_called_full_smooth_GL2_space	bounded_family_guard
F28	stationary_result_promoted_to_time_live_or_on_shell	authority_guard
F29	carrier_Hopf_section_or_preferred_direction_inferred	interpretation_guard
F30	action_source_boundary_density_bootstrap_Xmax_matter_mass_or_stability_inferred	physics_scope_guard
F31	GPU_fit_relaxation_or_outcome_retuning_used	method_guard
F32	production_and_independent_routes_share_load_bearing_functions	independence_guard
