source_id	prior_result	current_ruling	reason
P01	phi-field-only integrable motif and 12 completion taxonomy	HISTORICAL_GEOMETRIC_INPUT_ONLY	The motif census predates phi+orchestra and is not a complete physical relation-family census; the completion taxonomy remains valid as taxonomy.
P02	no registered complete founded-pair pullback witness	SUPERSEDED_AS_UNIVERSAL_NEGATIVE	P03 P05 and P07 later supplied nonultrastatic complete configurations global screens and intrinsic projectors; the negative survives only for the frozen first-derivative motif arena.
P03	stationary Killing depth and twisted reciprocal S3 existence	CURRENT_COMPATIBLE_CONDITIONAL	G36 retains the stationary Killing calibration state as the positive conditional prototype; it is not universal.
P04	bounded equal-screen response atlas	CURRENT_COMPATIBLE_BUT_ANSATZ_LIMITED	P05 releases the full GL2 screen and G28 requires the complete orchestra.
P05	general-screen complete S3 and nonparallel split no-go	CURRENT_COMPATIBLE	It keeps full screen area shear rotation and mixing live and makes no physical selector claim.
P06	completion-parameterized local fibers	CURRENT_COMPATIBLE_SCHEMA_ONLY	Monodromy cap and seam data give conditional join schemas but no complete physical relation owner.
P07	intrinsic twisted-S3 projector and full ambient holonomy	CURRENT_COMPATIBLE_GEOMETRIC_PATH_STRUCTURE	The global projector and path-labelled lift survive; they do not select the physical non-isometric comparison arrow.
P08	global phi ownership and overlap correction	CURRENT_CONTROL	Pointwise phi is presentation data on a supplied factorization; global physical ownership remains open.
P09	complete pair phi+orchestra	CURRENT_CONTROL	Complete angular and mixing modulation must remain live; the physical cocycle remains open.
P10	calibration-state solder	CURRENT_CONTROL	No universal nonzero local solder exists at order zero or first metric jet; stationary Killing is conditional.
P11	terminal reciprocal c_E readout	CURRENT_CONTROL	The reciprocal evaluator reads an already supplied calibrated pair metric and does not construct it.
P12	calibrated pair-map owner atlas	CURRENT_CONTROL	Bare endpoints do not select a universal tape; cut loci and branch labels remain.
P13	founding pair-relation ownership	CURRENT_CONTROL	Ordering gives source and target but not a unique relation arrow.
P14	three-observer overlap and carry	CURRENT_CONTROL	Associativity of matched arrows is distinct from descent and path independence; explicit middle transitions are required.
